Date,Revenue
26-10-22,3830.600098
27-10-22,3807.300049
28-10-22,3901.060059
31-10-22,3871.97998
01-11-22,3856.100098
02-11-22,3759.689941
03-11-22,3719.889893
04-11-22,3770.550049
07-11-22,3806.800049
08-11-22,3828.110107
09-11-22,3748.570068
10-11-22,3956.370117
11-11-22,3992.929932
14-11-22,3957.25
15-11-22,3991.72998
16-11-22,3958.790039
17-11-22,3946.560059
18-11-22,3965.340088
21-11-22,3949.939941
22-11-22,4003.580078
23-11-22,4027.26001
25-11-22,4026.120117
28-11-22,3963.939941
29-11-22,3957.629883
30-11-22,4080.110107
01-12-22,4076.570068
02-12-22,4071.699951
05-12-22,3998.840088
06-12-22,3941.26001
07-12-22,3933.919922
08-12-22,3963.51001
09-12-22,3934.379883
12-12-22,3990.560059
13-12-22,4019.649902
14-12-22,3995.320068
15-12-22,3895.75
16-12-22,3852.360107
19-12-22,3817.659912
20-12-22,3821.620117
21-12-22,3878.439941
22-12-22,3822.389893
23-12-22,3844.820068
27-12-22,3829.25
28-12-22,3783.219971
29-12-22,3849.280029
30-12-22,3839.5
03-01-23,3824.139893
04-01-23,3852.969971
05-01-23,3808.100098
06-01-23,3895.080078
09-01-23,3892.090088
10-01-23,3919.25
11-01-23,3969.610107
12-01-23,3983.169922
13-01-23,3999.090088
17-01-23,3990.969971
18-01-23,3928.860107
19-01-23,3898.850098
20-01-23,3972.610107
23-01-23,4019.810059
24-01-23,4016.949951
25-01-23,4016.219971
26-01-23,4060.429932
27-01-23,4070.560059
30-01-23,4017.77002
31-01-23,4076.600098
01-02-23,4119.209961
02-02-23,4179.759766
03-02-23,4136.47998
06-02-23,4111.080078
07-02-23,4164
08-02-23,4117.859863
09-02-23,4081.5
10-02-23,4090.459961
13-02-23,4137.290039
14-02-23,4136.129883
15-02-23,4147.600098
16-02-23,4090.409912
17-02-23,4079.090088
21-02-23,3997.340088
22-02-23,3991.050049
23-02-23,4012.320068
24-02-23,3970.040039
27-02-23,3982.23999
28-02-23,3970.149902
01-03-23,3951.389893
02-03-23,3981.350098
03-03-23,4045.639893
06-03-23,4048.419922
07-03-23,3986.370117
08-03-23,3992.01001
09-03-23,3918.320068
10-03-23,3861.590088
13-03-23,3855.76001
14-03-23,3919.290039
15-03-23,3891.929932
16-03-23,3960.280029
17-03-23,3916.639893
20-03-23,3951.570068
21-03-23,4002.870117
22-03-23,3936.969971
23-03-23,3948.719971
24-03-23,3970.98999
27-03-23,3977.530029
28-03-23,3971.27002
29-03-23,4027.810059
30-03-23,4050.830078
31-03-23,4109.310059
03-04-23,4124.509766
04-04-23,4100.600098
05-04-23,4090.379883
06-04-23,4105.02002
10-04-23,4109.109863
11-04-23,4108.939941
12-04-23,4091.949951
13-04-23,4146.220215
14-04-23,4137.640137
17-04-23,4151.319824
18-04-23,4154.870117
19-04-23,4154.52002
20-04-23,4129.790039
21-04-23,4133.52002
24-04-23,4137.040039
25-04-23,4071.629883
26-04-23,4055.98999
27-04-23,4135.350098
28-04-23,4169.47998
01-05-23,4167.870117
02-05-23,4119.580078
03-05-23,4090.75
04-05-23,4061.219971
05-05-23,4136.25
08-05-23,4138.120117
09-05-23,4119.169922
10-05-23,4137.640137
11-05-23,4130.620117
12-05-23,4124.080078
15-05-23,4136.279785
16-05-23,4109.899902
17-05-23,4158.77002
18-05-23,4198.049805
19-05-23,4191.97998
22-05-23,4192.629883
23-05-23,4145.580078
24-05-23,4115.240234
25-05-23,4151.279785
26-05-23,4205.450195
30-05-23,4205.52002
31-05-23,4179.830078
01-06-23,4221.02002
02-06-23,4282.370117
05-06-23,4273.790039
06-06-23,4283.850098
07-06-23,4267.52002
08-06-23,4293.930176
09-06-23,4298.859863
12-06-23,4338.930176
13-06-23,4369.009766
14-06-23,4372.589844
15-06-23,4425.839844
16-06-23,4409.589844
20-06-23,4388.709961
21-06-23,4365.689941
22-06-23,4381.890137
23-06-23,4348.330078
26-06-23,4328.819824
27-06-23,4378.410156
28-06-23,4376.859863
29-06-23,4396.439941
30-06-23,4450.379883
03-07-23,4455.589844
05-07-23,4446.819824
06-07-23,4411.589844
07-07-23,4398.950195
10-07-23,4409.529785
11-07-23,4439.259766
12-07-23,4472.160156
13-07-23,4510.040039
14-07-23,4505.419922
17-07-23,4522.790039
18-07-23,4554.97998
19-07-23,4565.720215
20-07-23,4534.870117
21-07-23,4536.339844
24-07-23,4554.640137
25-07-23,4567.459961
26-07-23,4566.75
27-07-23,4537.410156
28-07-23,4582.22998
31-07-23,4588.959961
01-08-23,4576.72998
02-08-23,4513.390137
03-08-23,4501.890137
04-08-23,4478.029785
07-08-23,4518.439941
08-08-23,4499.379883
09-08-23,4467.709961
10-08-23,4468.830078
11-08-23,4464.049805
14-08-23,4489.720215
15-08-23,4437.859863
16-08-23,4404.330078
17-08-23,4370.359863
18-08-23,4369.709961
21-08-23,4399.77002
22-08-23,4387.549805
23-08-23,4436.009766
24-08-23,4376.310059
25-08-23,4405.709961
28-08-23,4433.310059
29-08-23,4497.629883
30-08-23,4514.870117
31-08-23,4507.660156
01-09-23,4515.77002
05-09-23,4496.830078
06-09-23,4465.47998
07-09-23,4451.140137
08-09-23,4457.490234
11-09-23,4487.459961
12-09-23,4461.899902
13-09-23,4467.439941
14-09-23,4505.100098
15-09-23,4450.319824
18-09-23,4453.529785
19-09-23,4443.950195
20-09-23,4402.200195
21-09-23,4330
22-09-23,4320.060059
25-09-23,4337.439941
26-09-23,4273.529785
27-09-23,4274.509766
28-09-23,4299.700195
29-09-23,4288.049805
02-10-23,4288.390137
03-10-23,4229.450195
04-10-23,4263.75
05-10-23,4258.189941
06-10-23,4308.5
09-10-23,4335.660156
10-10-23,4358.240234
11-10-23,4376.950195
12-10-23,4349.609863
13-10-23,4327.779785
16-10-23,4373.629883
17-10-23,4373.200195
18-10-23,4314.600098
19-10-23,4278
20-10-23,4224.160156
23-10-23,4217.040039
24-10-23,4247.680176
25-10-23,4186.77002
26-10-23,4137.22998
27-10-23,4117.370117
30-10-23,4166.819824
31-10-23,4193.799805
01-11-23,4237.859863
02-11-23,4317.779785
03-11-23,4358.339844
06-11-23,4365.97998
07-11-23,4378.379883
08-11-23,4382.779785
09-11-23,4347.350098
10-11-23,4415.240234
13-11-23,4411.549805
14-11-23,4495.700195
15-11-23,4502.879883
16-11-23,4508.240234
17-11-23,4514.02002
20-11-23,4547.379883
21-11-23,4538.189941
22-11-23,4556.620117
24-11-23,4559.339844
27-11-23,4550.430176
28-11-23,4554.890137
29-11-23,4550.580078
30-11-23,4567.799805
01-12-23,4594.629883
04-12-23,4569.779785
05-12-23,4567.180176
06-12-23,4549.339844
07-12-23,4585.589844
08-12-23,4604.370117
11-12-23,4622.439941
12-12-23,4643.700195
13-12-23,4707.089844
14-12-23,4719.549805
15-12-23,4719.189941
18-12-23,4740.560059
19-12-23,4768.370117
20-12-23,4698.350098
21-12-23,4746.75
22-12-23,4754.629883
26-12-23,4774.75
27-12-23,4781.580078
28-12-23,4783.350098
29-12-23,4769.830078
02-01-24,4742.830078
03-01-24,4704.810059
04-01-24,4688.680176
05-01-24,4697.240234
08-01-24,4763.540039
09-01-24,4756.5
10-01-24,4783.450195
11-01-24,4780.240234
12-01-24,4783.830078
16-01-24,4765.97998
17-01-24,4739.209961
18-01-24,4780.939941
19-01-24,4839.810059
22-01-24,4850.430176
23-01-24,4864.600098
24-01-24,4868.549805
25-01-24,4894.160156
26-01-24,4890.970215
29-01-24,4927.930176
30-01-24,4924.970215
31-01-24,4845.649902
01-02-24,4906.189941
02-02-24,4958.609863
05-02-24,4942.810059
06-02-24,4954.22998
07-02-24,4995.060059
08-02-24,4997.910156
09-02-24,5026.609863
12-02-24,5021.839844
13-02-24,4953.169922
14-02-24,5000.620117
15-02-24,5029.72998
16-02-24,5005.569824
20-02-24,4975.509766
21-02-24,4981.799805
22-02-24,5087.029785
23-02-24,5088.799805
26-02-24,5069.529785
27-02-24,5078.180176
28-02-24,5069.759766
29-02-24,5096.27002
01-03-24,5137.080078
04-03-24,5130.950195
05-03-24,5078.649902
06-03-24,5104.759766
07-03-24,5157.359863
08-03-24,5123.689941
11-03-24,5117.939941
12-03-24,5175.27002
13-03-24,5165.310059
14-03-24,5150.47998
15-03-24,5117.089844
18-03-24,5149.419922
19-03-24,5178.509766
20-03-24,5224.620117
21-03-24,5241.529785
22-03-24,5234.180176
25-03-24,5218.189941
26-03-24,5203.580078
27-03-24,5248.490234
28-03-24,5254.350098
01-04-24,5243.77002
02-04-24,5205.810059
03-04-24,5211.490234
04-04-24,5147.209961
05-04-24,5204.339844
08-04-24,5202.390137
09-04-24,5209.910156
10-04-24,5160.640137
11-04-24,5199.060059
12-04-24,5123.410156
15-04-24,5061.819824
16-04-24,5051.410156
17-04-24,5022.209961
18-04-24,5011.120117
19-04-24,4967.22998
22-04-24,5010.600098
23-04-24,5070.549805
24-04-24,5071.629883
25-04-24,5048.419922
26-04-24,5099.959961
29-04-24,5116.169922
30-04-24,5035.689941
01-05-24,5018.390137
02-05-24,5064.200195
03-05-24,5127.790039
06-05-24,5180.740234
07-05-24,5187.700195
08-05-24,5187.669922
09-05-24,5214.080078
10-05-24,5222.680176
13-05-24,5221.419922
14-05-24,5246.680176
15-05-24,5308.149902
16-05-24,5297.100098
17-05-24,5303.27002
20-05-24,5308.129883
21-05-24,5321.410156
22-05-24,5307.009766
23-05-24,5267.839844
24-05-24,5304.720215
28-05-24,5306.040039
29-05-24,5266.950195
30-05-24,5235.47998
31-05-24,5277.509766
03-06-24,5283.399902
04-06-24,5291.339844
05-06-24,5354.029785
06-06-24,5352.959961
07-06-24,5346.990234
10-06-24,5360.790039
11-06-24,5375.319824
12-06-24,5421.029785
13-06-24,5433.740234
14-06-24,5431.600098
17-06-24,5473.22998
18-06-24,5487.029785
20-06-24,5473.169922
21-06-24,5464.620117
24-06-24,5447.870117
25-06-24,5469.299805
26-06-24,5477.899902
27-06-24,5482.870117
28-06-24,5460.47998
01-07-24,5475.089844
02-07-24,5509.009766
03-07-24,5537.02002
05-07-24,5567.189941
08-07-24,5572.850098
09-07-24,5576.97998
10-07-24,5633.910156
11-07-24,5584.540039
12-07-24,5615.350098
15-07-24,5631.220215
16-07-24,5667.200195
17-07-24,5588.27002
18-07-24,5544.589844
19-07-24,5505
22-07-24,5564.410156
23-07-24,5555.740234
24-07-24,5427.129883
25-07-24,5399.220215
26-07-24,5459.100098
29-07-24,5463.540039
30-07-24,5436.439941
31-07-24,5522.299805
01-08-24,5446.680176
02-08-24,5346.560059
05-08-24,5186.330078
06-08-24,5240.029785
07-08-24,5199.5
08-08-24,5319.310059
09-08-24,5344.160156
12-08-24,5344.390137
13-08-24,5434.430176
14-08-24,5455.209961
15-08-24,5543.220215
16-08-24,5554.25
19-08-24,5608.25
20-08-24,5597.120117
21-08-24,5620.850098
22-08-24,5570.640137
23-08-24,5634.609863
26-08-24,5616.839844
27-08-24,5625.799805
28-08-24,5592.180176
29-08-24,5591.959961
30-08-24,5648.399902
03-09-24,5528.930176
04-09-24,5520.069824
05-09-24,5503.410156
06-09-24,5408.419922
09-09-24,5471.049805
10-09-24,5495.52002
11-09-24,5554.129883
12-09-24,5595.759766
13-09-24,5626.02002
16-09-24,5633.089844
17-09-24,5634.580078
18-09-24,5618.259766
19-09-24,5713.640137
20-09-24,5702.549805
23-09-24,5718.569824
24-09-24,5732.930176
25-09-24,5722.259766
26-09-24,5745.370117
27-09-24,5738.169922
30-09-24,5762.47998
01-10-24,5708.75
02-10-24,5709.540039
03-10-24,5699.939941
04-10-24,5751.069824
07-10-24,5695.939941
08-10-24,5751.129883
09-10-24,5792.040039
10-10-24,5780.049805
11-10-24,5815.029785
14-10-24,5859.850098
15-10-24,5815.259766
16-10-24,5842.470215
17-10-24,5841.470215
18-10-24,5864.669922
21-10-24,5853.97998
22-10-24,5851.200195
23-10-24,5797.419922
24-10-24,5809.859863
25-10-24,5808.120117
28-10-24,5823.52002
29-10-24,5832.919922
30-10-24,5813.669922
31-10-24,5705.450195
01-11-24,5728.799805
04-11-24,5712.689941
05-11-24,5782.759766
06-11-24,5929.040039
07-11-24,5973.100098
08-11-24,5995.540039
11-11-24,6001.350098
12-11-24,5983.990234
13-11-24,5985.379883
14-11-24,5949.169922
15-11-24,5870.620117
18-11-24,5893.620117
19-11-24,5916.97998
20-11-24,5917.109863
21-11-24,5948.709961
22-11-24,5969.339844
25-11-24,5987.370117
26-11-24,6021.629883
27-11-24,5998.740234
29-11-24,6032.379883
02-12-24,6047.149902
