Icecream_units,Icecream_unit_cost,Nuts_units,Nuts_unit_cost,Total_cost,Variance
21745,7.92,10037,2.87,201027.0,-21027.0
23838,6.49,13373,2.21,184263.0,-4263.0
22193,7.46,10651,2.5,192187.0,-12187.0
24345,6.5,11354,2.6,187763.0,-7763.0
24802,5.01,13856,2.82,163332.0,16668.0
21041,6.96,12386,2.54,177906.0,2094.0
24666,7.27,14815,2.81,220952.0,-40952.0
20943,6.11,11701,2.13,152885.0,27115.0
21185,5.35,14906,2.71,153735.0,26265.0
22721,5.44,13125,2.28,153527.0,26473.0
22241,5.22,13317,2.6,150722.0,29278.0
24751,7.28,14733,2.94,223502.0,-43502.0
23104,5.28,12613,2.35,151630.0,28370.0
22562,6.76,12627,2.02,178026.0,1974.0
20984,5.09,11977,2.35,134955.0,45045.0
22357,5.08,12695,2.96,151151.0,28849.0
24848,6.04,10178,2.06,171049.0,8951.0
22364,7.96,12896,2.47,209871.0,-29871.0
24995,5.72,11923,2.05,167414.0,12586.0
20311,5.51,13859,2.28,143512.0,36488.0
22543,7.79,13584,2.12,204408.0,-24408.0
24560,5.82,14700,2.31,176896.0,3104.0
22573,6.95,11212,2.87,189061.0,-9061.0
21368,7.65,10042,2.25,186060.0,-6060.0
24269,6.23,11775,2.5,180633.0,-633.0
23822,6.99,10739,2.8,196585.0,-16585.0
20303,7.42,14273,2.67,188757.0,-8757.0
20424,7.49,14811,2.13,184523.0,-4523.0
24325,6.55,12486,2.37,188921.0,-8921.0
22544,5.34,13154,2.58,154322.0,25678.0
22085,6.91,11385,2.66,182891.0,-2891.0
24030,7.3,13873,2.31,207466.0,-27466.0
22991,5.92,12321,2.63,168511.0,11489.0
21526,7.51,12478,2.56,193604.0,-13604.0
24059,7.74,14052,2.58,222471.0,-42471.0
21322,7.97,13857,2.74,207905.0,-27905.0
22431,5.94,14210,2.37,166918.0,13082.0
23356,5.93,14814,2.51,175684.0,4316.0
23636,5.07,11952,2.33,147683.0,32317.0
23132,6.3,13721,2.93,185934.0,-5934.0
23369,6.06,13855,2.49,176115.0,3885.0
24483,7.44,10934,2.17,205880.0,-25880.0
23326,6.17,10914,2.28,168805.0,11195.0
23867,5.65,14784,2.41,170478.0,9522.0
23828,7.26,13369,2.88,211494.0,-31494.0
24619,5.93,11251,2.72,176593.0,3407.0
21265,7.93,10596,2.01,189929.0,-9929.0
21712,7.73,13090,2.13,195715.0,-15715.0
20864,6.79,11518,2.6,171613.0,8387.0
21514,7.45,10189,2.22,182899.0,-2899.0
20486,5.67,13870,2.48,150553.0,29447.0
22347,6.52,14694,2.05,175825.0,4175.0
20275,7.4,10487,2.22,173316.0,6684.0
21400,7.88,13237,2.55,202386.0,-22386.0
23935,7.3,13069,2.43,206483.0,-26483.0
20789,6.34,12453,2.02,156957.0,23043.0
23673,6.89,13821,2.96,204017.0,-24017.0
22784,7.61,10475,2.15,195907.0,-15907.0
20034,5.22,10567,2.7,133108.0,46892.0
23500,7.18,10831,2.62,197107.0,-17107.0
22800,5.82,11241,2.59,161810.0,18190.0
21746,5.61,12426,2.54,153557.0,26443.0
20027,7.84,11985,2.55,187573.0,-7573.0
20066,5.31,13373,2.56,140785.0,39215.0
21004,6.06,12827,2.55,159993.0,20007.0
24056,6.44,10369,2.92,185198.0,-5198.0
23733,7.29,10297,2.64,200198.0,-20198.0
21480,7.36,13374,2.92,197145.0,-17145.0
23416,6.2,14768,2.77,186087.0,-6087.0
21194,5.66,13020,2.39,151076.0,28924.0
21477,5.16,14468,2.58,148149.0,31851.0
20717,6.38,14735,2.56,169896.0,10104.0
24785,6.66,11282,2.32,191242.0,-11242.0
21272,5.47,13337,2.27,146633.0,33367.0
24912,5.94,14816,2.1,179091.0,909.0
22123,7.05,11845,2.96,191028.0,-11028.0
21756,5.56,11342,2.91,153969.0,26031.0
22298,6.84,12838,2.93,190134.0,-10134.0
21695,6.46,14055,2.04,168822.0,11178.0
21778,5.77,11488,2.57,155183.0,24817.0
22120,6.84,14754,2.63,190104.0,-10104.0
20644,7.91,12303,2.26,191099.0,-11099.0
23452,7.35,13344,2.97,212004.0,-32004.0
23568,5.2,14461,2.29,155669.0,24331.0
21031,7.39,11987,2.97,191020.0,-11020.0
24355,6.71,11937,2.82,197084.0,-17084.0
20803,6.8,10807,2.48,168262.0,11738.0
23699,7.0,11322,2.08,189443.0,-9443.0
23135,7.56,10359,2.88,204735.0,-24735.0
22597,5.93,13956,2.44,168053.0,11947.0
24067,7.83,13407,2.4,220621.0,-40621.0
24695,5.16,10403,2.16,149897.0,30103.0
20047,5.95,10652,2.58,146762.0,33238.0
20101,5.99,13018,2.66,155033.0,24967.0
23454,7.99,13977,2.32,219824.0,-39824.0
21234,6.06,14274,2.26,160937.0,19063.0
20044,7.4,14088,2.68,186081.0,-6081.0
24764,7.27,14711,2.42,215635.0,-35635.0
24605,7.72,10678,2.68,218568.0,-38568.0
20428,7.63,13105,2.26,185483.0,-5483.0
22441,7.56,11054,2.7,199500.0,-19500.0
23427,5.27,14360,2.56,160222.0,19778.0
20832,6.67,12713,2.49,170605.0,9395.0
20243,5.85,11216,2.91,151060.0,28940.0
21734,5.36,10448,2.51,142719.0,37281.0
22457,6.32,12800,2.99,180200.0,-200.0
22564,6.61,12364,2.76,183273.0,-3273.0
20837,7.28,13071,2.25,181103.0,-1103.0
20223,5.15,10283,2.07,125434.0,54566.0
20554,5.81,14612,2.7,158871.0,21129.0
22028,5.96,13426,2.83,169282.0,10718.0
20292,7.93,11289,2.1,184622.0,-4622.0
20873,6.0,10130,2.11,146612.0,33388.0
20913,7.41,12282,2.99,191689.0,-11689.0
22458,5.9,11334,2.64,162424.0,17576.0
20820,5.52,13654,2.14,144146.0,35854.0
23058,7.27,10386,2.08,189235.0,-9235.0
23988,5.11,10560,2.81,152252.0,27748.0
23962,5.05,10804,2.98,153204.0,26796.0
23233,5.78,11314,2.95,167663.0,12337.0
23653,7.33,12595,2.5,204864.0,-24864.0
24956,7.87,12614,2.7,230462.0,-50462.0
21911,7.56,10217,2.47,190883.0,-10883.0
22450,5.1,11007,2.43,141242.0,38758.0
22180,6.19,12394,2.86,172741.0,7259.0
21814,7.6,12854,2.48,197664.0,-17664.0
21027,7.58,10691,2.58,186967.0,-6967.0
21781,5.08,11941,2.79,143963.0,36037.0
24602,6.01,13392,2.27,178258.0,1742.0
24509,5.48,11133,2.61,163366.0,16634.0
21167,7.8,12864,2.28,194433.0,-14433.0
24912,6.89,11172,2.02,194211.0,-14211.0
23246,7.82,10363,2.08,203339.0,-23339.0
22695,7.74,14197,2.34,208880.0,-28880.0
24744,7.9,10573,2.15,218210.0,-38210.0
20652,5.55,14670,2.43,150267.0,29733.0
20788,5.29,13610,2.28,140999.0,39001.0
24435,5.14,13157,2.15,153883.0,26117.0
22906,7.37,13603,2.1,197384.0,-17384.0
20866,6.26,13539,2.04,158241.0,21759.0
21044,7.3,13577,2.49,187428.0,-7428.0
21922,5.17,14524,2.63,151535.0,28465.0
23316,5.82,11911,2.12,160950.0,19050.0
24336,7.75,11325,2.12,212613.0,-32613.0
22584,7.33,11461,2.14,190067.0,-10067.0
23524,6.23,11559,2.76,178457.0,1543.0
20139,5.54,11611,2.04,135256.0,44744.0
23735,7.01,10665,2.27,190592.0,-10592.0
22896,6.41,12151,2.35,175318.0,4682.0
23396,5.47,10765,2.23,151982.0,28018.0
20506,7.94,10504,2.85,192754.0,-12754.0
20626,5.67,11764,2.19,142713.0,37287.0
22968,5.52,10001,2.92,155986.0,24014.0
20712,6.2,10962,2.78,158889.0,21111.0
24081,7.61,12982,2.21,211947.0,-31947.0
21220,6.73,12141,2.05,167700.0,12300.0
20586,5.83,12283,2.1,145811.0,34189.0
20756,5.95,12058,2.95,159069.0,20931.0
24358,7.85,13432,2.32,222373.0,-42373.0
22582,5.15,13170,2.41,148037.0,31963.0
20671,6.31,14169,2.92,171807.0,8193.0
22519,6.14,12393,2.3,166771.0,13229.0
20582,7.01,11496,2.23,169916.0,10084.0
21686,5.01,14202,2.57,145146.0,34854.0
22454,5.28,12569,2.99,156138.0,23862.0
21087,7.13,12255,2.39,179640.0,360.0
22104,5.13,12550,2.59,145898.0,34102.0
22384,5.54,11908,2.05,148419.0,31581.0
23811,7.82,10879,2.45,212856.0,-32856.0
20352,6.27,14763,2.75,168205.0,11795.0
24781,6.52,11065,2.45,188681.0,-8681.0
23143,7.8,14946,2.43,216834.0,-36834.0
23795,6.02,10738,2.05,165259.0,14741.0
22603,6.38,11549,2.97,178508.0,1492.0
23740,7.88,10078,2.57,212972.0,-32972.0
24499,7.37,12867,2.45,212082.0,-32082.0
24767,7.7,13715,2.68,227462.0,-47462.0
20148,6.33,13253,2.06,154838.0,25162.0
22540,7.59,11362,2.65,201188.0,-21188.0
23327,5.47,10250,2.12,149329.0,30671.0
23735,5.11,14008,2.66,158547.0,21453.0
22764,6.53,12273,2.41,178227.0,1773.0
22211,7.82,14669,2.93,216670.0,-36670.0
23159,7.07,12218,2.52,194523.0,-14523.0
22235,6.1,12029,2.17,161736.0,18264.0
23931,7.5,12318,2.05,204734.0,-24734.0
22961,5.5,10285,2.73,154364.0,25636.0
23189,5.3,13933,2.68,160242.0,19758.0
21742,5.71,12251,2.1,149874.0,30126.0
20102,7.98,10604,2.28,184591.0,-4591.0
23061,7.13,13566,2.59,199561.0,-19561.0
20992,6.65,13289,2.98,179198.0,802.0
23453,6.58,11526,2.92,187977.0,-7977.0
22658,6.54,11219,2.72,178699.0,1301.0
23593,5.4,10051,2.99,157455.0,22545.0
23858,5.15,12035,2.63,154521.0,25479.0
20993,7.67,10775,2.09,183536.0,-3536.0
23225,7.26,13222,2.11,196512.0,-16512.0
24421,5.24,11808,2.16,153471.0,26529.0
23540,6.57,10294,2.4,179363.0,637.0
24135,5.15,11022,2.58,152732.0,27268.0
24187,7.94,10529,2.08,213945.0,-33945.0
24496,5.99,11064,2.12,170187.0,9813.0
24032,7.42,10059,2.26,201051.0,-21051.0
23291,5.43,14756,2.3,160409.0,19591.0
23355,5.55,14884,2.21,162514.0,17486.0
21603,5.46,11386,2.25,143571.0,36429.0
23711,6.26,12006,2.27,175684.0,4316.0
22036,6.83,12856,2.52,182903.0,-2903.0
21605,6.64,14755,2.83,185214.0,-5214.0
24563,7.11,11384,2.86,207201.0,-27201.0
21895,5.34,13769,2.2,147211.0,32789.0
24203,6.24,14107,2.26,182909.0,-2909.0
21336,6.92,14667,2.32,181673.0,-1673.0
20061,7.45,13539,2.82,187634.0,-7634.0
20894,7.74,12467,2.07,187526.0,-7526.0
23199,6.63,11148,2.85,185581.0,-5581.0
21281,6.66,13740,2.33,173746.0,6254.0
23228,5.48,11293,2.5,155522.0,24478.0
20732,5.69,12286,2.81,152489.0,27511.0
21610,7.89,13809,2.66,207235.0,-27235.0
20728,7.21,11512,2.61,179495.0,505.0
20507,6.85,13534,2.65,176338.0,3662.0
20333,7.74,10916,2.28,182266.0,-2266.0
20161,6.98,13100,2.63,175177.0,4823.0
22002,6.1,14995,2.18,166901.0,13099.0
23077,7.01,14691,2.31,195706.0,-15706.0
21461,7.89,10264,2.93,199401.0,-19401.0
20929,5.3,10313,2.8,139800.0,40200.0
20178,5.03,12223,2.06,126675.0,53325.0
24427,7.17,14278,2.43,209837.0,-29837.0
21865,5.6,11464,2.78,154314.0,25686.0
21733,7.56,14078,2.55,200200.0,-20200.0
23775,7.29,12131,2.16,199523.0,-19523.0
21928,5.81,13022,2.63,161650.0,18350.0
20092,5.11,14716,2.6,140932.0,39068.0
21753,6.06,14469,2.76,171758.0,8242.0
23313,6.67,14787,2.73,195866.0,-15866.0
24631,6.73,14035,2.5,200854.0,-20854.0
20933,6.68,12341,2.69,173030.0,6970.0
23053,6.62,13521,2.49,186278.0,-6278.0
23912,5.23,10946,2.6,153519.0,26481.0
23469,7.06,13708,2.85,204759.0,-24759.0
21780,6.45,14462,2.88,182132.0,-2132.0
21066,7.24,11793,2.47,181647.0,-1647.0
23408,6.84,11392,2.49,188477.0,-8477.0
23292,7.42,12939,2.44,204398.0,-24398.0
21696,7.52,12444,2.18,190282.0,-10282.0
24238,6.66,13387,2.07,189136.0,-9136.0
23762,5.26,12328,2.78,159260.0,20740.0
21496,6.49,11815,2.2,165502.0,14498.0
24269,5.45,12616,2.83,167969.0,12031.0
23095,6.3,10130,2.77,173559.0,6441.0
23021,7.07,11833,2.47,191986.0,-11986.0
20716,7.28,10519,2.57,177846.0,2154.0
24809,7.34,10764,2.86,212883.0,-32883.0
21994,6.36,10506,2.54,166567.0,13433.0
20848,5.18,10144,2.22,130512.0,49488.0
24325,6.4,10538,2.51,182130.0,-2130.0
23893,7.93,11296,2.83,221439.0,-41439.0
23821,7.2,10246,2.39,195999.0,-15999.0
22065,7.63,14034,2.74,206809.0,-26809.0
23063,5.1,10257,2.81,146443.0,33557.0
23075,7.14,13849,2.39,197855.0,-17855.0
21990,7.12,13842,2.11,185775.0,-5775.0
24922,6.59,11367,2.72,195154.0,-15154.0
20644,7.19,13430,2.48,181737.0,-1737.0
21712,7.22,13165,2.77,193228.0,-13228.0
24309,7.84,10657,2.29,214987.0,-34987.0
20584,6.18,11948,2.71,159588.0,20412.0
20632,5.82,13005,2.91,157923.0,22077.0
22769,6.96,10617,2.64,186501.0,-6501.0
23260,7.55,11363,2.27,201407.0,-21407.0
24215,7.0,12623,2.72,203840.0,-23840.0
23866,5.09,12673,2.52,153414.0,26586.0
22553,6.44,14522,2.02,174576.0,5424.0
22909,6.1,11831,2.22,166010.0,13990.0
22002,6.03,14012,2.4,166301.0,13699.0
21742,5.56,10240,2.75,149046.0,30954.0
20370,6.54,13623,2.4,165915.0,14085.0
21693,7.85,10542,2.65,198226.0,-18226.0
20726,5.01,11746,2.23,130031.0,49969.0
23443,5.6,13624,2.01,158665.0,21335.0
23174,6.88,11759,2.74,191657.0,-11657.0
22411,5.33,13553,2.11,148047.0,31953.0
21082,6.26,10203,2.39,156358.0,23642.0
22223,7.44,13903,2.73,203294.0,-23294.0
23697,5.44,14678,2.31,162818.0,17182.0
24385,7.94,13496,2.81,231541.0,-51541.0
22591,6.03,13427,2.71,172611.0,7389.0
23054,7.87,12903,2.94,219370.0,-39370.0
23310,6.45,13231,2.58,184485.0,-4485.0
23728,6.33,12407,2.0,175012.0,4988.0
24251,5.82,13898,2.6,177276.0,2724.0
21636,7.01,13519,2.64,187359.0,-7359.0
22756,6.09,12888,2.48,170546.0,9454.0
24714,7.94,12491,2.5,227457.0,-47457.0
23382,5.52,14174,2.14,159401.0,20599.0
20543,7.97,12115,2.26,191108.0,-11108.0
20829,5.33,10283,2.12,132819.0,47181.0
24263,5.34,13874,2.72,167302.0,12698.0
24530,6.99,11404,2.36,198378.0,-18378.0
24214,5.87,13621,2.89,181501.0,-1501.0
24756,7.74,14869,2.91,234880.0,-54880.0
24930,5.71,11057,2.27,167450.0,12550.0
22317,6.28,14199,2.63,177494.0,2506.0
24445,7.91,12793,2.63,227006.0,-47006.0
24539,6.04,13776,2.31,180038.0,-38.0
20541,7.51,14222,2.0,182707.0,-2707.0
21817,7.35,14916,2.09,191529.0,-11529.0
22346,6.18,14529,2.15,169336.0,10664.0
20684,6.9,11506,2.42,170564.0,9436.0
21499,7.17,10481,2.46,179931.0,69.0
24724,5.72,14492,2.74,181129.0,-1129.0
23626,6.57,11846,2.84,188865.0,-8865.0
20426,5.33,10346,2.2,131632.0,48368.0
20844,7.01,14394,2.73,185412.0,-5412.0
21297,7.28,14687,2.39,190144.0,-10144.0
20255,6.73,10585,2.06,158121.0,21879.0
23167,5.37,13302,2.15,153006.0,26994.0
21712,7.12,11459,2.82,186904.0,-6904.0
22266,5.52,13649,2.61,158532.0,21468.0
22707,6.03,14464,2.52,173372.0,6628.0
21811,5.95,14551,2.33,163679.0,16321.0
23283,6.64,13996,2.56,190429.0,-10429.0
24198,6.73,14252,2.83,203186.0,-23186.0
24904,7.7,13910,2.12,221250.0,-41250.0
23983,5.14,14613,2.31,157029.0,22971.0
24532,5.59,13871,2.67,174169.0,5831.0
21783,7.01,13008,2.09,179886.0,114.0
20530,5.83,11288,2.8,151296.0,28704.0
20993,5.86,12977,2.96,161431.0,18569.0
24630,6.66,10876,2.28,188833.0,-8833.0
24960,7.06,14268,2.8,216168.0,-36168.0
23185,6.29,14674,2.58,183693.0,-3693.0
21541,5.62,14956,2.42,157254.0,22746.0
21211,6.82,11541,2.12,169126.0,10874.0
22725,5.84,10268,2.41,157460.0,22540.0
24124,6.28,14187,2.57,187959.0,-7959.0
22824,7.06,13704,2.26,192108.0,-12108.0
23858,6.19,10971,2.29,172805.0,7195.0
23110,7.34,12702,2.87,206082.0,-26082.0
22347,6.18,10105,2.16,159931.0,20069.0
23581,6.82,10284,2.8,189618.0,-9618.0
22187,6.85,14800,2.61,190609.0,-10609.0
22406,6.7,14470,2.42,185138.0,-5138.0
23428,5.51,10190,2.3,152525.0,27475.0
23196,6.77,12437,2.7,190617.0,-10617.0
22400,6.41,12191,2.19,170282.0,9718.0
21235,5.84,13442,2.2,153585.0,26415.0
21195,7.77,13157,2.71,200341.0,-20341.0
20564,7.68,14170,2.48,193073.0,-13073.0
23177,6.69,11110,2.58,183718.0,-3718.0
20102,5.61,10305,2.81,141729.0,38271.0
23311,7.64,11877,2.43,206957.0,-26957.0
24186,5.13,12382,2.85,159363.0,20637.0
23342,6.61,10668,2.59,181921.0,-1921.0
23728,6.97,12508,2.76,199906.0,-19906.0
23529,5.99,10394,2.49,166820.0,13180.0
23751,7.31,10258,2.48,199060.0,-19060.0
22993,7.46,12652,2.32,200880.0,-20880.0
24493,6.84,10035,2.48,192419.0,-12419.0
23740,5.2,14062,2.97,165212.0,14788.0
21979,6.28,13914,2.7,175596.0,4404.0
24779,6.63,12547,2.26,192641.0,-12641.0
22977,5.39,11250,2.71,154334.0,25666.0
24339,6.26,10283,2.29,175910.0,4090.0
20890,6.36,14467,2.48,168739.0,11261.0
22351,5.76,12958,2.26,158027.0,21973.0
21339,7.44,13319,2.97,198320.0,-18320.0
22226,7.56,12389,2.46,198506.0,-18506.0
22703,7.55,12906,2.52,203931.0,-23931.0
23690,6.59,12272,2.61,188147.0,-8147.0
23976,7.35,13440,2.79,213721.0,-33721.0
21912,6.33,12697,2.79,174128.0,5872.0
22681,5.17,11864,2.83,150836.0,29164.0
22900,7.01,13051,2.08,187675.0,-7675.0
20881,7.17,13997,2.31,182050.0,-2050.0
23927,6.75,12558,2.52,193153.0,-13153.0
23584,5.27,11065,2.7,154163.0,25837.0
20401,5.06,11339,2.73,134185.0,45815.0
21270,7.35,11103,2.1,179651.0,349.0
22956,7.24,14797,2.55,203934.0,-23934.0
21579,5.7,12885,2.68,157532.0,22468.0
22409,6.83,12451,2.18,180197.0,-197.0
21814,7.44,13717,2.86,201527.0,-21527.0
20155,5.03,10072,2.73,128876.0,51124.0
20677,7.97,12074,2.5,194981.0,-14981.0
24904,5.59,10157,2.46,164200.0,15800.0
20694,7.34,12606,2.35,181518.0,-1518.0
23590,7.71,13084,2.75,217860.0,-37860.0
23527,6.21,12185,2.32,174372.0,5628.0
24019,6.71,11507,2.56,190625.0,-10625.0
23848,6.83,13960,2.62,199457.0,-19457.0
20230,5.15,13633,2.78,142084.0,37916.0
20576,6.54,10464,2.01,155600.0,24400.0
22450,5.33,11801,2.22,145857.0,34143.0
24707,7.97,14111,2.16,227395.0,-47395.0
23516,6.21,10894,2.03,168149.0,11851.0
21746,5.1,11914,2.42,139736.0,40264.0
21994,5.11,11262,2.79,143810.0,36190.0
21254,7.83,13389,2.12,194804.0,-14804.0
23066,6.14,10473,2.18,164456.0,15544.0
21655,5.57,13357,2.78,157751.0,22249.0
21606,7.02,10584,2.56,178769.0,1231.0
23768,7.47,12901,2.98,215992.0,-35992.0
23186,7.71,13545,2.68,215065.0,-35065.0
23963,5.06,10003,2.39,145160.0,34840.0
22412,7.07,11946,2.81,192021.0,-12021.0
22501,7.28,11527,2.93,197581.0,-17581.0
24407,7.2,11267,2.73,206489.0,-26489.0
22570,7.04,11005,2.36,184865.0,-4865.0
23487,7.32,13860,3.0,213505.0,-33505.0
24004,6.69,13802,2.01,188329.0,-8329.0
20937,7.81,12849,2.69,198082.0,-18082.0
