Customer ID,Age,Gender,Annual Income,Spending Score,Purchase Frequency,Cluster,PCA1,PCA2
CUST1034,19,0,38,84,4,2,-1.6325514490776845,-0.7033533119345963
CUST1080,23,0,25,96,18,2,-1.9818858785997915,0.6596639250588677
CUST1155,22,0,33,91,13,2,-1.8090852543297997,0.21601667706747468
CUST1126,21,0,31,93,3,2,-1.7637098806840958,-0.883336597593111
CUST1332,18,1,22,78,12,2,-1.5835322575233481,-1.2265766156149964
CUST1216,18,1,17,89,19,2,-1.9679700765138242,-0.5280663612183134
CUST1234,20,1,17,86,9,2,-1.654783521467351,-1.596821403055035
CUST1020,20,0,15,99,12,2,-2.1387030609691635,-0.1174739683193411
CUST1179,24,1,19,86,16,2,-1.5636888354262075,-0.8070549161731407
CUST1328,19,1,24,95,15,2,-1.9849134148616896,-0.859464468210842
CUST1143,25,0,21,89,19,2,-1.7464679906823593,0.7164081133865918
CUST1384,21,0,23,81,16,2,-1.690396816130781,0.3983597016517063
CUST1183,21,0,21,99,13,2,-2.087396497111279,0.06895053434104514
CUST1360,25,1,23,76,19,2,-1.3066308799641544,-0.4411447650231253
CUST1364,24,1,22,71,17,2,-1.206569151089638,-0.6766126712690255
CUST1325,23,0,26,72,2,2,-1.163976865144682,-1.067460748585372
CUST1051,23,1,16,86,13,2,-1.5760549578910645,-1.1701373848573504
CUST1165,24,0,15,74,3,2,-1.2151007388950568,-1.0936835163017171
CUST1345,23,1,30,86,16,2,-1.5755606608339887,-0.6716080502950649
CUST1224,20,1,37,93,15,2,-1.8483227889253069,-0.6938966745940324
CUST1152,21,0,37,86,5,2,-1.6049384086592524,-0.5999207781745548
CUST1068,24,1,38,96,2,2,-1.538981630517972,-2.059112273536875
CUST1358,21,0,19,86,3,2,-1.6328630560272501,-1.041680911552841
CUST1300,25,1,17,71,13,2,-1.1168164428958012,-1.1653754691947478
CUST1372,18,0,26,71,17,2,-1.5947202095034547,0.5234515391942877
CUST1084,20,0,22,97,10,2,-2.038724855962797,-0.24559552947157662
CUST1004,22,1,36,91,14,2,-1.6947183501905634,-0.8089123371574521
CUST1343,20,1,17,92,15,2,-1.887853047725426,-0.9473545522438657
CUST1016,24,0,15,74,9,2,-1.303265596462272,-0.4500944036497632
CUST1070,22,1,17,70,18,2,-1.3068255665535304,-0.6402793541722023
CUST1348,18,1,19,70,4,2,-1.2823250447165373,-2.13040415489005
CUST1238,24,0,29,88,8,2,-1.5821056213057252,-0.3669097551506117
CUST1326,19,0,28,99,9,2,-2.100124353901811,-0.27857383330491237
CUST1171,21,1,17,71,10,2,-1.2603195969568954,-1.5008347221796763
CUST1151,18,0,15,90,14,2,-2.0445271352109637,0.08140678032967834
CUST1194,21,0,19,81,4,2,-1.5268033083794028,-0.9393141745768611
CUST1193,23,0,37,95,7,2,-1.7578909061289292,-0.3697421183889384
CUST1209,19,1,28,75,17,2,-1.5185499310315098,-0.6140315735995818
CUST1270,19,1,21,92,5,2,-1.775071806774857,-1.972923596570534
CUST1200,18,0,23,73,20,2,-1.6966563500546383,0.8093336033798416
CUST1346,19,1,29,92,7,2,-1.7789876778644904,-1.6574025905038972
CUST1254,22,0,29,80,6,2,-1.453303901951191,-0.5961087919096923
CUST1245,19,1,24,93,20,2,-2.0100825732707492,-0.3250994537206189
CUST1173,21,0,27,96,6,2,-1.8929808511961854,-0.609098823112186
CUST1359,21,0,33,86,20,2,-1.838086759960343,0.9585563525306705
CUST1049,24,1,21,75,1,2,-1.0712500285500668,-2.4015557256325906
CUST1174,21,0,31,93,1,2,-1.7343215948283572,-1.097866301810429
CUST1269,24,1,34,74,5,2,-1.0644831481514798,-1.8093650747193468
CUST1142,21,1,18,89,2,2,-1.5742964077607577,-2.328696411840138
CUST1392,22,0,19,71,12,2,-1.3559522749397481,-0.0875754138082101
CUST1192,25,0,37,75,19,2,-1.3574122675381435,0.904675994713728
CUST1178,24,1,21,91,11,2,-1.6046039076710517,-1.3132332361214267
CUST1099,20,0,27,80,4,2,-1.52407651120933,-0.8427186699188157
CUST1191,23,0,29,85,12,2,-1.6153262543829476,0.05579461003967873
CUST1102,18,0,25,85,7,2,-1.7890737256825318,-0.548106172251965
CUST1092,21,0,18,70,12,2,-1.3818819443815435,-0.10459512373064866
CUST1026,19,0,27,78,11,2,-1.6255303511853039,-0.09724012537601241
CUST1037,25,1,21,97,12,2,-1.717306323578605,-1.1966744716888147
CUST1230,21,1,33,96,6,2,-1.7543676485917907,-1.7034209512522773
CUST1395,19,0,36,75,3,2,-1.406868406805052,-0.8446825967444079
CUST1003,23,0,16,85,7,2,-1.5832482137385222,-0.6446405160087596
CUST1160,23,0,24,98,6,2,-1.8570417715414105,-0.6381789669231333
CUST1239,23,1,27,72,10,2,-1.1588370651920568,-1.3667836235120159
CUST1278,19,0,39,89,5,2,-1.7648154307355068,-0.5785664319620931
CUST1103,21,1,35,97,19,2,-1.963174181077708,-0.2827504253508448
CUST1001,23,1,20,96,6,2,-1.7019675311643603,-1.8606994684279452
CUST1334,22,1,26,73,19,2,-1.3653155772149617,-0.4164604184034517
CUST1202,42,0,87,42,19,1,0.3960047296397245,1.5616190321968326
CUST1061,47,1,132,55,7,1,0.7556475324223262,-0.2977327545630804
CUST1207,35,1,139,43,18,1,0.34335291198372003,0.917798441455038
CUST1390,48,1,84,57,5,0,0.6307961691623238,-1.1128348496585034
CUST1138,39,0,147,56,13,1,0.1964126172071944,1.6789308832920602
CUST1130,49,1,85,46,11,0,0.8583703184186233,-0.46398150340254113
CUST1349,37,0,126,44,20,1,0.22270507391045274,2.1460948560503046
CUST1065,46,1,134,51,3,1,0.870498924574727,-0.7088790038062678
CUST1096,35,0,119,56,13,1,-0.0803264173188749,1.311796630160492
CUST1356,38,0,131,52,2,1,0.35681007663094355,0.28970024012729173
CUST1203,49,0,95,42,9,0,0.89669334366275,0.6138750321127269
CUST1382,47,0,92,48,17,1,0.5308905845892962,1.4331675006182436
CUST1386,39,1,109,56,14,1,0.1802333956701427,0.136421447089373
CUST1220,50,1,98,56,6,1,0.7786223216126327,-0.8229824940105959
CUST1157,41,0,96,59,4,1,0.1876137165010195,0.07949888243380356
CUST1186,35,1,142,55,6,1,0.23942544527372064,-0.31975256933694485
CUST1113,50,0,98,52,10,1,0.6969399708319128,0.7722240268449772
CUST1162,37,0,137,58,16,1,-0.021604677686682002,1.8696132100299845
CUST1337,50,1,134,56,1,1,0.966718902699451,-0.9048458962319549
CUST1018,36,0,141,43,15,1,0.3211909486402134,1.794733489283209
CUST1105,43,0,102,51,7,1,0.44963461513548786,0.4760322792639587
CUST1050,44,1,88,48,17,1,0.4969740816025333,0.20235772267228974
CUST1147,49,0,91,58,8,1,0.5122388293652743,0.47178849750398205
CUST1331,40,0,80,51,1,1,0.32706114496238803,-0.45553143596783635
CUST1089,44,0,137,48,17,1,0.53348373051511,1.9909950510264498
CUST1370,37,0,80,46,5,1,0.24834927669310106,-0.04161866516009331
CUST1365,42,1,113,53,14,1,0.4061111245321516,0.1942267514286387
CUST1327,48,1,127,59,5,1,0.7194088422998515,-0.5680473561653413
CUST1350,42,1,80,58,13,1,0.19497766597412147,-0.3247291056757822
CUST1008,36,0,95,54,13,1,-0.06154570967572767,1.0102796527242006
CUST1214,50,0,140,55,20,1,0.6112763847298418,2.3780157517201
CUST1210,49,1,143,60,19,1,0.5873812884379245,1.1400389742457964
CUST1304,40,0,142,44,10,1,0.5612805198548813,1.2856774611565662
CUST1058,41,0,148,42,1,1,0.807830069221745,0.39749419667729097
CUST1366,36,0,101,51,18,1,-0.04345977889506521,1.6194085205748774
CUST1091,49,0,146,59,12,1,0.6044343310556257,1.5961427291792227
CUST1265,45,1,105,60,10,1,0.411049021805047,-0.31871807517535167
CUST1150,44,1,95,43,4,0,0.8310401931608913,-1.1086160807548022
CUST1122,36,1,130,60,9,1,0.08327689947641469,-0.14113067648752942
CUST1098,44,0,136,55,1,1,0.5963505187092515,0.26899086574249226
CUST1279,35,1,108,46,7,1,0.333830542626195,-0.6505173573267148
CUST1115,42,1,148,52,10,1,0.6004802889604808,0.206024665558238
CUST1290,35,0,126,60,19,1,-0.24280602442632154,2.0476716240367434
CUST1250,43,0,141,49,17,1,0.47517276407184383,2.039054150812907
CUST1025,45,1,148,46,13,1,0.8419917160012593,0.5321900062192134
CUST1046,40,1,95,53,7,1,0.357864400381149,-0.7906899908224179
CUST1263,50,1,127,44,3,1,1.20485159130509,-0.7904390574512214
CUST1235,41,1,118,42,6,1,0.7583466907393215,-0.6149645292414412
CUST1391,47,0,112,50,12,1,0.6197407799136182,1.1512807407513181
CUST1076,44,1,102,50,2,1,0.7136613951309686,-1.227921034668215
CUST1341,41,1,89,57,14,1,0.18619437206208805,-0.10824483617791304
CUST1119,44,0,148,54,15,1,0.4529919179833832,1.9212061250111607
CUST1198,37,1,113,51,13,1,0.2346248451344298,0.06792178244321864
CUST1344,36,0,131,48,10,1,0.24206725424621192,1.1370682165609445
CUST1131,43,0,89,49,16,1,0.32429621102003087,1.2753458366836743
CUST1227,42,0,98,51,6,1,0.40469615496912903,0.3148556020659023
CUST1182,47,1,137,56,8,1,0.7327228706081294,-0.126368715772061
CUST1255,46,1,80,45,1,0,0.8728530794501167,-1.610977733665705
CUST1056,44,0,148,46,9,1,0.7343630004717446,1.2697800281469198
CUST1273,41,1,83,53,13,1,0.27838731637595177,-0.29517165677970486
CUST1256,43,1,95,52,10,1,0.47862193684621107,-0.4596265350287633
CUST1378,38,0,103,47,15,1,0.1973866574629928,1.3257756459345627
CUST1082,47,0,81,49,4,0,0.6627390942330585,-0.0991589938106011
CUST1086,38,1,111,48,7,1,0.4357703290667243,-0.6004378505859348
CUST1101,35,0,103,57,9,1,-0.09664545325475118,0.6817342410537538
CUST1011,42,1,91,41,6,0,0.743424464730036,-0.953373621844691
CUST1347,50,1,129,44,17,1,1.0055016940064472,0.736516697532334
CUST1338,48,1,114,44,16,1,0.8786422678255188,0.433060806126726
CUST1106,50,1,112,45,4,0,1.118245892575631,-0.8715532732835
CUST1071,48,0,112,58,15,1,0.4293485219200398,1.4843284554543197
CUST1109,46,0,140,47,20,1,0.6168970268062861,2.356514070848861
CUST1017,37,0,130,55,4,1,0.20488900887283662,0.49112872652831496
CUST1052,41,0,122,52,19,1,0.21904236737882524,2.009836033888224
CUST1277,49,1,91,40,2,0,1.1546265845348846,-1.359499434152698
CUST1140,46,1,146,59,11,1,0.5979481783797844,0.3085637500492697
CUST1042,36,0,144,56,3,1,0.19311270381507073,0.5581621015177621
CUST1063,36,1,112,46,17,1,0.24652171644173074,0.4760429888492724
CUST1002,50,1,119,52,14,1,0.8245373794112775,0.2963199981069951
CUST1294,41,1,122,43,3,1,0.7910145487908382,-0.8852838116162227
CUST1295,49,1,123,43,13,1,1.022428337047313,0.22731801551943498
CUST1305,40,0,108,45,11,1,0.4141778360559229,0.9647089034321552
CUST1120,37,0,92,58,17,1,-0.17958115367389155,1.4088019892362234
CUST1139,43,1,91,51,20,1,0.3430950782996097,0.5615467121066313
CUST1319,44,0,125,46,20,1,0.4994942358126315,2.1593434085253764
CUST1137,49,0,81,49,5,0,0.7418377427275402,0.014938206627533491
CUST1081,48,0,114,58,18,1,0.39163419682795836,1.8313708372426265
CUST1368,47,0,87,46,3,0,0.7689898825809363,-0.1336192386118783
CUST1296,40,0,105,42,17,1,0.38891315729684806,1.5674874088110067
CUST1274,44,0,113,52,13,1,0.41923994546769905,1.26288022915
CUST1248,44,1,86,52,18,1,0.3793087225225647,0.28829324142476254
CUST1040,40,1,147,57,15,1,0.30927884047730425,0.7277907801735717
CUST1231,35,0,137,59,20,1,-0.19832481893565318,2.2928198931616803
CUST1283,38,0,108,47,13,1,0.24269520254754687,1.174365505373069
CUST1135,44,1,115,48,14,1,0.6270259102217451,0.22140881008776475
CUST1104,40,1,100,46,18,1,0.3812045342094061,0.44548558484290424
CUST1211,49,0,115,40,13,1,0.9498993650968219,1.2934534491175886
CUST1233,40,0,89,42,16,1,0.35266247069250733,1.2582399530037096
CUST1067,45,0,103,52,11,1,0.4636841085769818,0.9255275717857713
CUST1267,46,0,143,56,5,1,0.6295043232253241,0.7942296346512939
CUST1367,39,1,128,40,1,1,0.8181666886442343,-1.0338412568556348
CUST1111,52,0,51,11,2,0,1.7488173716472257,-0.7125508841475394
CUST1033,70,0,66,22,1,0,2.3897488557961246,-0.5581900570315489
CUST1281,54,0,63,15,16,0,1.5784976717679917,0.9513948385832843
CUST1330,70,0,75,14,9,0,2.494058403906185,0.40570699020592005
CUST1079,54,1,62,10,4,0,1.9919061171621917,-1.5233710191115484
CUST1172,59,1,76,30,16,0,1.6116195441214565,-0.022784684216925314
CUST1021,59,1,58,30,2,0,1.7600246118878895,-1.7517230428991193
CUST1249,68,0,75,15,6,0,2.420197263152298,0.07805970857700337
CUST1180,66,0,74,15,20,0,2.117502418894015,1.5603113770375885
CUST1124,70,1,64,25,10,0,2.2981900229381615,-0.7851809489634206
CUST1252,63,0,74,13,16,0,2.083891359702252,1.119044200055667
CUST1362,58,0,71,20,16,0,1.6708017788030822,1.0709489522242341
CUST1116,63,1,64,18,15,0,2.0654999851265896,-0.279627268759042
CUST1381,50,1,73,12,3,0,1.8057376913184666,-1.5034782817832733
CUST1197,68,1,79,28,7,0,2.223788103640435,-0.9215102935717925
CUST1357,62,1,60,17,5,0,2.1769595894261977,-1.4071672379615654
CUST1028,62,0,65,14,3,0,2.175211577326365,-0.3914506430755857
CUST1355,53,0,78,13,11,0,1.7011343246128956,0.5990538487896532
CUST1074,50,1,66,15,10,0,1.6081379935576106,-0.8380528370612068
CUST1176,66,0,75,11,15,0,2.2907602978396975,1.032692537119315
CUST1262,57,1,53,29,13,0,1.5128267671453048,-0.6427412047157063
CUST1306,51,1,50,20,7,0,1.5274180979444674,-1.353515707788405
CUST1221,57,0,57,13,17,0,1.733689961129357,0.9912054907460958
CUST1054,56,1,66,24,1,0,1.804406651139197,-1.7741228538118878
CUST1159,51,0,52,15,16,0,1.402783914331071,0.8022832760462569
CUST1310,52,0,78,26,20,0,1.2080305270540346,1.5737564429478121
CUST1168,67,0,69,15,15,0,2.2219492700157213,0.964283727003207
CUST1268,61,0,64,28,11,0,1.6694670927344668,0.4643428092692856
CUST1257,50,1,64,11,12,0,1.668984716470919,-0.6526894504123621
CUST1280,61,0,73,24,4,0,1.8975856723019926,-0.1768144330169867
CUST1244,54,1,71,20,7,0,1.7349723738390193,-1.0781650179397289
CUST1107,66,1,63,17,9,0,2.3153207560967117,-0.9265713946744829
CUST1146,65,1,75,28,6,0,2.085056852051725,-1.0895193190993246
CUST1134,64,1,77,22,17,0,2.0277976565163742,0.10634796723430096
CUST1022,64,0,72,21,6,0,2.0781548560794474,0.03240101188377228
CUST1354,54,0,63,14,5,0,1.7642840220896965,-0.22949815763850043
CUST1030,70,1,73,15,1,0,2.7006015570522854,-1.6467456336262263
CUST1128,63,1,51,13,14,0,2.1595553446352547,-0.5559011015055236
CUST1289,51,0,62,28,18,0,1.0912760314361012,1.15578720692019
CUST1177,60,1,75,29,5,0,1.8411182383085736,-1.2128854190051372
CUST1055,68,0,63,10,4,0,2.532130817434596,-0.2928550635469726
CUST1288,56,1,76,29,5,0,1.6567167073096347,-1.2139262029329239
CUST1398,55,0,73,26,2,0,1.5972940276603913,-0.40988193616966023
CUST1324,51,1,68,21,17,0,1.4136388237743682,-0.05265713451431132
CUST1393,55,1,56,24,14,0,1.5346458789080903,-0.5093350778757078
CUST1189,67,0,52,10,4,0,2.450209851420026,-0.43513427775452435
CUST1000,51,1,64,23,5,0,1.5289307752954597,-1.388371764689807
CUST1218,67,1,72,15,15,0,2.3510103170828267,-0.16791013933037885
CUST1377,64,0,63,14,6,0,2.2185538362735824,-0.0880715638824627
CUST1261,68,1,60,20,4,0,2.4005797722756896,-1.4909961760021893
CUST1285,51,0,64,13,6,0,1.6362355219892073,-0.12083753831942604
CUST1117,69,0,77,22,14,0,2.1868531723260434,0.971699886259094
CUST1085,55,1,62,20,20,0,1.5621884448760268,0.20607901905709194
CUST1108,50,1,67,12,17,0,1.5809153792537192,-0.07751382864903678
CUST1308,64,1,75,10,10,0,2.414097890701652,-0.681509299307072
CUST1083,59,1,55,15,3,0,2.0980399851498803,-1.6970242743819928
CUST1361,68,1,52,27,14,0,2.0591104814248897,-0.5124815955791673
CUST1291,66,1,68,19,9,0,2.2829394590952408,-0.8614925849655868
CUST1307,54,1,64,14,6,0,1.8722828225374064,-1.279674997325757
CUST1222,53,0,74,19,8,0,1.5875758773225912,0.23264137969823176
CUST1181,59,1,72,21,3,0,2.0072641978369936,-1.4765400197929746
CUST1247,66,0,54,11,14,0,2.2385893520065414,0.6603255176561933
CUST1309,59,1,77,22,15,0,1.8227039638162352,-0.12526260780670634
CUST1302,66,1,59,17,5,0,2.3613611204251366,-1.4061264540337786
CUST1246,69,0,56,11,11,0,2.429729071615202,0.37402730928675976
CUST1258,54,1,74,29,20,0,1.3361436682777192,0.3629664049051555
CUST1317,51,1,66,10,7,0,1.81987070862811,-1.1613293343551254
CUST1299,55,0,56,14,20,0,1.5684799109624918,1.294523409037968
CUST1007,70,1,71,18,2,0,2.6070869760874604,-1.5617897379002894
CUST1228,51,1,75,26,7,0,1.4621147253976856,-1.0320401513500677
CUST1023,62,1,79,18,13,0,2.0957526529575996,-0.3082144561736245
CUST1035,60,0,61,20,7,0,1.865001338118625,-0.013841495735869756
CUST1371,60,1,74,24,17,0,1.7823583619040964,0.05677077843492639
CUST1112,65,1,66,15,2,0,2.429137072648197,-1.6449290414594109
CUST1045,60,1,62,12,11,0,2.1221239347038736,-0.7500607633094364
CUST1164,68,1,69,26,4,0,2.284331570196698,-1.3715032232624902
CUST1133,64,0,74,14,13,0,2.150719406081892,0.801645440920964
CUST1229,65,0,53,21,7,0,2.0498601237932546,-0.09677230373496355
CUST1271,60,1,59,27,12,0,1.7356159645115659,-0.6659733039962341
CUST1154,65,1,52,23,3,0,2.1766599789584977,-1.7065619833747734
CUST1342,57,0,58,30,8,0,1.4585580713685071,0.055099325950439544
CUST1149,53,1,62,20,9,0,1.6300312256602374,-0.9806667024676325
CUST1316,57,1,67,18,11,0,1.852450338108303,-0.6913119839886105
CUST1379,53,0,64,11,11,0,1.7048591550024987,0.4203598245002729
CUST1072,52,1,53,21,11,0,1.500939299366312,-0.8821887639690006
CUST1158,52,0,64,12,3,0,1.7513651245991335,-0.440195543507201
CUST1313,67,0,71,12,14,0,2.3154638509805467,0.8793278312772702
CUST1298,68,0,51,10,20,0,2.258815908439531,1.2718956174175924
CUST1019,68,0,64,17,11,0,2.263400421979272,0.47748017513055624
CUST1266,70,1,57,17,10,0,2.4691078849389663,-0.8813853222938618
CUST1260,54,0,57,20,15,0,1.4533336130455659,0.7732846252203154
CUST1012,67,0,66,18,18,0,2.095862351349395,1.2511454142152967
CUST1351,59,1,61,14,7,0,2.082518502628125,-1.1932010125869035
CUST1066,70,0,68,23,9,0,2.2544130379495537,0.3261562083265886
CUST1059,55,0,59,12,6,0,1.8320516237202369,-0.1712720283428348
CUST1399,50,1,58,30,15,0,1.1469331924250104,-0.3880255329691932
CUST1217,54,0,54,14,19,0,1.529909554487659,1.1585945573022411
CUST1204,58,1,55,14,9,0,1.9871295099866328,-1.0578309589213126
CUST1287,61,1,69,28,10,0,1.819590386420968,-0.7498680837106294
CUST1373,63,1,75,23,4,0,2.141406237060829,-1.3157794867787977
CUST1015,33,1,138,95,17,1,-0.9947702503439756,0.8420177256656034
CUST1322,34,0,102,95,18,1,-1.1967027555379577,1.6683034981441447
CUST1129,28,1,131,98,10,1,-1.2211339256705402,-0.011345629957245557
CUST1396,33,0,109,82,3,1,-0.6869385289138903,0.13154683212271012
CUST1321,29,0,109,71,11,1,-0.7264186959149699,0.9652250990411361
CUST1293,34,0,118,92,10,1,-0.9557524482373642,1.0092284158939036
CUST1335,33,0,145,74,4,1,-0.3938005804731409,0.6854355583410182
CUST1276,27,0,133,80,7,1,-0.9023746743638189,0.8411238550638044
CUST1094,39,0,132,75,4,1,-0.1779656583161518,0.5428013608508374
CUST1241,28,0,122,87,8,1,-1.07425243868991,0.8197992024801385
CUST1078,33,0,127,90,7,1,-0.8816083923227773,0.795673653930601
CUST1062,34,0,131,79,6,1,-0.541623087034104,0.7315447736194448
CUST1156,35,0,149,73,19,1,-0.4835329474706324,2.3507567161985023
CUST1167,30,1,106,78,16,1,-0.8120917256566168,0.3038855522143447
CUST1314,26,1,128,75,8,1,-0.7396226901261467,-0.2931107503078588
CUST1336,31,1,107,71,2,1,-0.38723783030350606,-1.1886396515967297
CUST1132,26,0,100,86,11,1,-1.2580260213875138,0.8560557073644764
CUST1219,35,1,102,74,4,1,-0.317413126888788,-1.0206259452966768
CUST1195,26,1,123,94,14,1,-1.3025725911098998,0.30597163619245205
CUST1389,35,1,122,75,14,1,-0.42482429736736116,0.3054804534397466
CUST1041,25,0,107,95,5,1,-1.4118261996474217,0.30623441690476155
CUST1375,40,0,146,81,3,1,-0.21670306252728302,0.6215651993024401
CUST1282,35,0,136,92,13,1,-0.8956255480860602,1.5616695755455863
CUST1352,35,0,102,90,12,1,-0.9408876116838504,1.0232324445242493
CUST1114,36,1,132,79,4,1,-0.29574906638043535,-0.633594274064313
CUST1369,35,1,127,91,17,1,-0.8393989167644458,0.706068541846122
CUST1110,27,1,146,90,12,1,-1.0564516046298613,0.381289606850521
CUST1024,30,1,107,96,17,1,-1.2583158228113018,0.4414075315318141
CUST1387,32,0,133,94,18,1,-1.1676391616265087,2.0518328214542447
CUST1236,33,0,134,75,18,1,-0.6586939298818477,2.049260070845966
CUST1027,31,0,131,96,20,1,-1.2985935031152354,2.2396577720975666
CUST1175,28,1,123,77,15,1,-0.8129107146579823,0.4034152451794771
CUST1225,30,0,113,71,6,1,-0.5933153781813958,0.48281266358723846
CUST1340,29,1,131,81,11,1,-0.7783684449297981,0.08268180486504165
CUST1064,32,1,145,82,17,1,-0.7054181676379466,0.9142338412740535
CUST1223,25,1,142,94,11,1,-1.2448895729679685,0.22061524759387013
CUST1141,25,0,115,90,17,1,-1.441929609440031,1.689505828925309
CUST1323,37,0,103,76,12,1,-0.5057998748037302,1.028973983213388
CUST1303,39,0,136,79,7,1,-0.3059149921772801,0.9190100602076176
CUST1148,35,0,120,82,9,1,-0.6462860247553603,0.9208313331469536
CUST1005,30,0,113,86,19,1,-1.146600907970845,1.8919500863978433
CUST1237,34,0,130,95,7,1,-0.9459137316500288,0.8418596814215128
CUST1060,36,1,147,90,3,1,-0.49895270503269545,-0.5407245819136042
CUST1380,26,1,117,97,7,1,-1.291270236034824,-0.5176869358755425
CUST1339,29,1,106,99,19,1,-1.410236890569409,0.642836017932837
CUST1253,25,0,109,95,17,1,-1.581787811090326,1.618660467670999
CUST1032,31,1,106,83,3,1,-0.6949253624588578,-1.0822432359008052
CUST1196,25,0,132,71,2,1,-0.7085237999562973,0.27652672622104585
CUST1043,28,0,122,97,15,1,-1.4186192203364272,1.58044939750611
CUST1077,33,1,120,91,1,1,-0.7203737842612311,-1.105368829340052
CUST1118,25,0,118,80,12,1,-1.1173989581119625,1.1812570763101502
CUST1242,28,0,147,70,10,1,-0.6134762004441345,1.3332731335254688
CUST1013,30,1,118,88,9,1,-0.9125318841638077,-0.285685229506931
CUST1315,30,1,135,90,4,1,-0.8332338443767752,-0.605443727567351
CUST1047,36,1,128,73,17,1,-0.35460446313492794,0.7044754142643791
CUST1009,39,0,117,88,2,1,-0.5102982656437228,0.1516480650110127
CUST1048,37,1,101,95,9,1,-0.8074414423695552,-0.46952116559781787
CUST1087,32,1,100,98,5,1,-1.0587832354051487,-0.9253464885077004
CUST1297,25,0,146,90,15,1,-1.313835716365636,1.8663174193741028
CUST1184,31,1,104,80,3,1,-0.6288411318049543,-1.1104299304427425
CUST1374,25,1,119,77,20,1,-1.0398068238139075,0.8789953323038989
CUST1226,40,1,110,80,17,1,-0.39338726031996507,0.4977670429481136
CUST1161,37,0,141,73,15,1,-0.3564359991029095,1.827538354244023
CUST1376,38,0,101,86,13,1,-0.7214735068633831,1.1242034142898136
CUST1100,31,0,102,96,7,1,-1.1999071485800659,0.4791212254812181
CUST1388,27,0,122,76,1,1,-0.7526312746394248,0.05475321026289324
CUST1397,35,1,111,77,14,1,-0.508150423901042,0.16857665945000458
CUST1333,32,0,119,72,15,1,-0.6368163401504324,1.5317517803081704
CUST1036,27,0,104,91,12,1,-1.3338414517968715,1.0221304996952119
CUST1232,38,1,136,71,6,1,-0.025402128509624044,-0.3695735548051467
CUST1090,40,1,137,92,9,1,-0.4796740544431265,-0.007750653861275865
CUST1093,38,1,129,84,6,1,-0.36165060692682854,-0.44520584457833473
CUST1353,37,0,108,93,11,1,-0.8857487006044813,1.001482286211663
CUST1385,25,0,133,91,18,1,-1.4234615972593074,2.0249807332214718
CUST1125,37,0,143,91,2,1,-0.5937580434216626,0.47597631677143154
CUST1311,37,1,134,74,20,1,-0.3568369632479247,1.106409244168619
CUST1275,38,1,121,93,9,1,-0.6485624535128308,-0.21558598286285402
CUST1014,40,0,143,70,16,1,-0.1516205168602962,1.9673606852296177
CUST1057,32,1,123,95,20,1,-1.1335098525252054,0.9710374168593693
