CustomerID,InvoiceDate,InvoiceNumber,ProductCode,ProductDescription,QuantityPurchased,UnitCost,InvoiceAmount
C1013,05/01/2024,INV45296L,CT8712654,BROWNIE BITES,10,7,70
C1014,05/01/2024,INV45296M,CT8239476,SWEET TOOTH BOX,8,15,120
C1021,05/01/2024,INV45296N,CT9564237,PLANT-BASED MINI COOKIES,11,9,99
C1042,05/01/2024,INV45296O,CT5347126,GLUTEN-FREE BROWNIE BITES,7,11,77
C1059,05/01/2024,INV45296P,CT8152376,DIY COOKIE MIX,14,14,196
C1075,05/01/2024,INV45296Q,CT8641935,FREEZE-DRIED FRUIT CHIPS,11,8,88
C1013,06/01/2024,INV45297R,CT5347126,GLUTEN-FREE BROWNIE BITES,17,11,187
C1016,06/01/2024,INV45297S,CT5347126,GLUTEN-FREE BROWNIE BITES,17,11,187
C1053,06/01/2024,INV45297T,CT8152376,DIY COOKIE MIX,7,14,98
C1054,06/01/2024,INV45297U,CT8152376,DIY COOKIE MIX,6,14,84
C1067,06/01/2024,INV45297V,CT8712654,BROWNIE BITES,5,7,35
C1072,06/01/2024,INV45297W,CT9564237,PLANT-BASED MINI COOKIES,9,9,81
C1073,06/01/2024,INV45297X,CT3981567,HONEY-ROASTED ALMOND BRITTLE,9,6,54
C1080,06/01/2024,INV45297Y,CT5347126,GLUTEN-FREE BROWNIE BITES,5,11,55
C1002,07/01/2024,INV45298Z,CT2671398,BROWNIE BITES,7,7,91
C1008,07/01/2024,INV45298A,CT2671398,CHOCOLATE-COVERED ESPRESSO BEANS,12,13,156
C1010,07/01/2024,INV45298B,CT2671398,CHOCOLATE-COVERED ESPRESSO BEANS,14,13,182
C1017,07/01/2024,INV45298C,CT5347126,MINI COOKIE POUCH,4,5,44
C1021,07/01/2024,INV45298D,CT8239476,SWEET TOOTH BOX,12,15,180
C1027,07/01/2024,INV45298E,CT3981567,HONEY-ROASTED ALMOND BRITTLE,7,6,42
C1027,07/01/2024,INV45298F,CT4923568,MINI COOKIE POUCH,8,5,40
C1030,07/01/2024,INV45298G,CT3981567,HONEY-ROASTED ALMOND BRITTLE,14,6,84
C1040,07/01/2024,INV45298H,CT8712654,BROWNIE BITES,9,7,63
C1045,07/01/2024,INV45298I,CT4923568,MINI COOKIE POUCH,6,5,30
C1053,07/01/2024,INV45298J,CT5347126,GLUTEN-FREE BROWNIE BITES,7,11,77
C1072,07/01/2024,INV45298K,CT9564237,PLANT-BASED MINI COOKIES,10,9,90
C1074,07/01/2024,INV45298L,CT2671398,CHOCOLATE-COVERED ESPRESSO BEANS,7,13,91
C1008,08/01/2024,INV45299M,CT8641935,FREEZE-DRIED FRUIT CHIPS,8,8,64
C1010,08/01/2024,INV45299N,CT8239476,SWEET TOOTH BOX,15,15,225
C1030,08/01/2024,INV45299O,CT5347126,GLUTEN-FREE BROWNIE BITES,15,11,165
C1031,08/01/2024,INV45299P,CT8239476,SWEET TOOTH BOX,10,15,150
C1058,08/01/2024,INV45299Q,CT3981567,HONEY-ROASTED ALMOND BRITTLE,4,6,24
C1068,08/01/2024,INV45299R,CT5347126,GLUTEN-FREE BROWNIE BITES,9,11,99
C1075,08/01/2024,INV45299S,CT9564237,PLANT-BASED MINI COOKIES,9,9,81
C1029,09/01/2024,INV45300T,CT9564237,PLANT-BASED MINI COOKIES,15,9,135
C1037,09/01/2024,INV45300U,CT8239476,SWEET TOOTH BOX,6,15,90
C1039,09/01/2024,INV45300V,CT8712654,BROWNIE BITES,6,7,42
C1041,09/01/2024,INV45300W,CT2671398,CHOCOLATE-COVERED ESPRESSO BEANS,5,13,65
C1045,09/01/2024,INV45300X,CT4923568,MINI COOKIE POUCH,9,5,45
C1049,09/01/2024,INV45300Y,CT4923568,MINI COOKIE POUCH,6,5,30
C1049,09/01/2024,INV45300Z,CT5347126,GLUTEN-FREE BROWNIE BITES,10,11,110
C1053,09/01/2024,INV45300A,CT4923568,MINI COOKIE POUCH,6,5,30
C1057,09/01/2024,INV45300B,CT6193754,CHOCOLATE-DIPPED BISCOTTI FINGERS,11,12,132
C1059,09/01/2024,INV45300C,CT4923568,MINI COOKIE POUCH,7,5,35
C1034,10/01/2024,INV45301D,CT4923568,MINI COOKIE POUCH,9,5,45
C1042,10/01/2024,INV45301E,CT4923568,MINI COOKIE POUCH,13,5,65
C1042,10/01/2024,INV45301F,CT8712654,BROWNIE BITES,14,7,98
C1048,10/01/2024,INV45301G,CT3981567,HONEY-ROASTED ALMOND BRITTLE,9,6,54
C1056,10/01/2024,INV45301H,CT8641935,FREEZE-DRIED FRUIT CHIPS,10,8,80
C1099,10/01/2024,INV45301I,CT2671398,CHOCOLATE-COVERED ESPRESSO BEANS,5,13,65
C1013,11/01/2024,INV45302J,CT8239476,SWEET TOOTH BOX,9,15,135
C1019,11/01/2024,INV45302K,CT3825961,MAPLE-CRUSTED PECANS,8,10,80
C1030,11/01/2024,INV45302L,CT6193754,CHOCOLATE-DIPPED BISCOTTI FINGERS,13,12,156
C1035,11/01/2024,INV45302M,CT5347126,GLUTEN-FREE BROWNIE BITES,21,11,231
C1041,11/01/2024,INV45302N,CT8239476,SWEET TOOTH BOX,5,15,75
C1049,11/01/2024,INV45302O,CT2671398,CHOCOLATE-COVERED ESPRESSO BEANS,9,13,117
C1058,11/01/2024,INV45302P,CT8152376,DIY COOKIE MIX,6,14,84
C1064,11/01/2024,INV45302Q,CT3981567,HONEY-ROASTED ALMOND BRITTLE,7,6,42
C1002,12/01/2024,INV45303R,CT3981567,GLUTEN-FREE BROWNIE BITES,6,11,36
C1017,12/01/2024,INV45303S,CT3825961,PLANT-BASED MINI COOKIES,4,9,40
C1023,12/01/2024,INV45303T,CT8152376,DIY COOKIE MIX,12,14,168
C1024,12/01/2024,INV45303U,CT4923568,MINI COOKIE POUCH,10,5,50
C1054,12/01/2024,INV45303V,CT8712654,BROWNIE BITES,8,7,56
C1021,13/01/2024,INV45304W,CT3825961,MAPLE-CRUSTED PECANS,10,10,100
C1028,13/01/2024,INV45304X,CT4923568,MINI COOKIE POUCH,9,5,45
C1028,13/01/2024,INV45304Y,CT6193754,CHOCOLATE-DIPPED BISCOTTI FINGERS,10,12,120
C1035,13/01/2024,INV45304Z,CT3825961,MAPLE-CRUSTED PECANS,10,10,100
C1044,13/01/2024,INV45304A,CT8641935,FREEZE-DRIED FRUIT CHIPS,14,8,112
C1045,13/01/2024,INV45304B,CT3981567,HONEY-ROASTED ALMOND BRITTLE,10,6,60
C1071,13/01/2024,INV45304C,CT5347126,MINI COOKIE POUCH,8,5,88
C1006,14/01/2024,INV45305D,CT6193754,MINI COOKIE POUCH,8,5,96
C1008,14/01/2024,INV45305E,CT9564237,MINI COOKIE POUCH,9,5,81
C1021,14/01/2024,INV45305F,CT5347126,FREEZE-DRIED FRUIT CHIPS,11,8,121
C1044,14/01/2024,INV45305G,CT8152376,BROWNIE BITES,14,7,196
C1048,14/01/2024,INV45305H,CT3981567,MINI COOKIE POUCH,11,5,66
C1053,14/01/2024,INV45305I,CT8152376,PLANT-BASED MINI COOKIES,5,9,70
C1053,14/01/2024,INV45305J,CT8641935,MAPLE-CRUSTED PECANS,5,10,40
C1056,14/01/2024,INV45305K,CT8712654,FREEZE-DRIED FRUIT CHIPS,7,8,49
C1090,14/01/2024,INV45305L,CT9564237,BROWNIE BITES,6,7,54
C1010,15/01/2024,INV45306M,CT3981567,HONEY-ROASTED ALMOND BRITTLE,14,6,84
C1021,15/01/2024,INV45306N,CT8641935,FREEZE-DRIED FRUIT CHIPS,10,8,80
C1023,15/01/2024,INV45306O,CT8641935,MAPLE-CRUSTED PECANS,14,10,112
C1026,15/01/2024,INV45306P,CT6193754,MAPLE-CRUSTED PECANS,12,10,144
C1034,15/01/2024,INV45306Q,CT8152376,HONEY-ROASTED ALMOND BRITTLE,9,6,126
C1040,15/01/2024,INV45306R,CT8712654,BROWNIE BITES,12,7,84
C1041,15/01/2024,INV45306S,CT3825961,BROWNIE BITES,6,7,60
C1045,15/01/2024,INV45306T,CT5347126,BROWNIE BITES,7,7,77
C1058,15/01/2024,INV45306U,CT3981567,PLANT-BASED MINI COOKIES,4,9,24
C1059,15/01/2024,INV45306V,CT4923568,MAPLE-CRUSTED PECANS,14,10,70
C1069,15/01/2024,INV45306W,CT6193754,BROWNIE BITES,12,7,144
C1096,15/01/2024,INV45306X,CT6193754,FREEZE-DRIED FRUIT CHIPS,6,8,72
C1011,16/01/2024,INV45307Y,CT8712654,PLANT-BASED MINI COOKIES,10,9,70
C1018,16/01/2024,INV45307Z,CT4923568,BROWNIE BITES,8,7,40
C1027,16/01/2024,INV45307A,CT3825961,MINI COOKIE POUCH,8,5,80
C1049,16/01/2024,INV45307B,CT4923568,BROWNIE BITES,11,7,55
C1056,16/01/2024,INV45307C,CT3825961,FREEZE-DRIED FRUIT CHIPS,6,8,60
C1059,16/01/2024,INV45307D,CT8239476,MINI COOKIE POUCH,7,5,105
C1081,16/01/2024,INV45307E,CT8152376,MINI COOKIE POUCH,7,5,98
C1007,17/01/2024,INV45308F,CT3981567,PLANT-BASED MINI COOKIES,6,9,36
C1008,17/01/2024,INV45308G,CT8152376,MAPLE-CRUSTED PECANS,10,10,140
C1056,17/01/2024,INV45308H,CT3825961,PLANT-BASED MINI COOKIES,6,9,60
C1060,17/01/2024,INV45308I,CT4923568,MINI COOKIE POUCH,8,5,40
C1073,18/01/2024,INV45309J,CT2671398,MAPLE-CRUSTED PECANS,15,10,195
C1011,19/01/2024,INV45310K,CT3981567,PLANT-BASED MINI COOKIES,6,9,36
C1027,19/01/2024,INV45310L,CT4923568,MAPLE-CRUSTED PECANS,10,10,50
C1046,19/01/2024,INV45310M,CT9564237,BROWNIE BITES,9,7,81
C1057,19/01/2024,INV45310N,CT4923568,MINI COOKIE POUCH,12,5,60
C1062,19/01/2024,INV45310O,CT6193754,CHOCOLATE-DIPPED BISCOTTI FINGERS,16,12,192
C1064,19/01/2024,INV45310P,CT8712654,BROWNIE BITES,9,7,63
C1028,20/01/2024,INV45311Q,CT5347126,GLUTEN-FREE BROWNIE BITES,9,11,99
C1035,20/01/2024,INV45311R,CT2671398,CHOCOLATE-COVERED ESPRESSO BEANS,20,13,260
C1074,20/01/2024,INV45311S,CT5347126,GLUTEN-FREE BROWNIE BITES,9,11,99
C1097,20/01/2024,INV45311T,CT4923568,DIY COOKIE MIX,6,14,30
C1011,21/01/2024,INV45312U,CT4923568,MINI COOKIE POUCH,9,5,45
C1025,21/01/2024,INV45312V,CT9564237,PLANT-BASED MINI COOKIES,7,9,63
C1027,21/01/2024,INV45312W,CT5347126,GLUTEN-FREE BROWNIE BITES,8,11,88
C1033,21/01/2024,INV45312X,CT8239476,SWEET TOOTH BOX,7,15,105
C1049,21/01/2024,INV45312Y,CT9564237,PLANT-BASED MINI COOKIES,11,9,99
C1074,21/01/2024,INV45312Z,CT9564237,PLANT-BASED MINI COOKIES,7,9,63
C1007,22/01/2024,INV45313A,CT6193754,CHOCOLATE-DIPPED BISCOTTI FINGERS,8,12,96
C1008,22/01/2024,INV45313B,CT2671398,CHOCOLATE-COVERED ESPRESSO BEANS,8,13,104
C1011,22/01/2024,INV45313C,CT8712654,BROWNIE BITES,8,7,56
C1012,22/01/2024,INV45313D,CT3981567,HONEY-ROASTED ALMOND BRITTLE,14,6,84
C1013,22/01/2024,INV45313E,CT9564237,PLANT-BASED MINI COOKIES,9,9,81
C1019,22/01/2024,INV45313F,CT8641935,FREEZE-DRIED FRUIT CHIPS,6,8,48
C1019,22/01/2024,INV45313G,CT3825961,MAPLE-CRUSTED PECANS,6,10,60
C1052,22/01/2024,INV45313H,CT8712654,GLUTEN-FREE BROWNIE BITES,7,11,49
C1054,22/01/2024,INV45313I,CT8239476,SWEET TOOTH BOX,9,15,135
C1059,22/01/2024,INV45313J,CT9564237,PLANT-BASED MINI COOKIES,8,9,72
C1064,22/01/2024,INV45313K,CT8152376,DIY COOKIE MIX,7,14,98
C1002,23/01/2024,INV45314L,CT8712654,GLUTEN-FREE BROWNIE BITES,8,11,56
C1048,23/01/2024,INV45314M,CT6193754,CHOCOLATE-DIPPED BISCOTTI FINGERS,7,12,84
C1048,23/01/2024,INV45314N,CT3825961,MAPLE-CRUSTED PECANS,8,10,80
C1062,23/01/2024,INV45314O,CT8152376,DIY COOKIE MIX,9,14,126
C1065,23/01/2024,INV45314P,CT4923568,MINI COOKIE POUCH,9,5,45
C1081,23/01/2024,INV45314Q,CT3981567,HONEY-ROASTED ALMOND BRITTLE,8,6,48
C1030,24/01/2024,INV45315R,CT8152376,DIY COOKIE MIX,15,14,210
C1046,24/01/2024,INV45315S,CT3825961,MAPLE-CRUSTED PECANS,11,10,110
C1052,24/01/2024,INV45315T,CT6193754,GLUTEN-FREE BROWNIE BITES,7,11,84
C1008,25/01/2024,INV45316U,CT8712654,BROWNIE BITES,10,7,70
C1013,25/01/2024,INV45316V,CT9564237,PLANT-BASED MINI COOKIES,11,9,99
C1013,25/01/2024,INV45316W,CT8712654,BROWNIE BITES,14,7,98
C1024,25/01/2024,INV45316X,CT2671398,CHOCOLATE-COVERED ESPRESSO BEANS,8,13,104
C1025,25/01/2024,INV45316Y,CT4923568,MINI COOKIE POUCH,5,5,25
C1028,25/01/2024,INV45316Z,CT4923568,MINI COOKIE POUCH,9,5,45
C1037,25/01/2024,INV45316A,CT8641935,FREEZE-DRIED FRUIT CHIPS,10,8,80
C1039,25/01/2024,INV45316B,CT6193754,CHOCOLATE-DIPPED BISCOTTI FINGERS,8,12,96
C1039,25/01/2024,INV45316C,CT8641935,FREEZE-DRIED FRUIT CHIPS,14,8,112
C1042,25/01/2024,INV45316D,CT8239476,SWEET TOOTH BOX,13,15,195
C1045,25/01/2024,INV45316E,CT3825961,MAPLE-CRUSTED PECANS,9,10,90
C1050,25/01/2024,INV45316F,CT8239476,SWEET TOOTH BOX,11,15,165
C1052,25/01/2024,INV45316G,CT3825961,GLUTEN-FREE BROWNIE BITES,10,11,100
C1057,25/01/2024,INV45316H,CT5347126,GLUTEN-FREE BROWNIE BITES,10,11,110
C1067,25/01/2024,INV45316I,CT8712654,BROWNIE BITES,8,7,56
C1075,25/01/2024,INV45316J,CT3825961,MAPLE-CRUSTED PECANS,11,10,110
C1002,26/01/2024,INV45317K,CT2671398,GLUTEN-FREE BROWNIE BITES,6,11,78
C1019,26/01/2024,INV45317L,CT6193754,CHOCOLATE-DIPPED BISCOTTI FINGERS,13,12,156
C1022,26/01/2024,INV45317M,CT9564237,PLANT-BASED MINI COOKIES,15,9,135
C1023,26/01/2024,INV45317N,CT8712654,BROWNIE BITES,8,7,56
C1028,26/01/2024,INV45317O,CT9564237,PLANT-BASED MINI COOKIES,13,9,117
C1029,26/01/2024,INV45317P,CT8239476,SWEET TOOTH BOX,12,15,180
C1037,26/01/2024,INV45317Q,CT6193754,CHOCOLATE-DIPPED BISCOTTI FINGERS,7,12,84
C1089,26/01/2024,INV45317R,CT3825961,MAPLE-CRUSTED PECANS,8,10,80
C1005,27/01/2024,INV45318S,CT4923568,MINI COOKIE POUCH,6,5,30
C1006,27/01/2024,INV45318T,CT8712654,BROWNIE BITES,8,7,56
C1021,27/01/2024,INV45318U,CT8152376,DIY COOKIE MIX,11,14,154
C1029,27/01/2024,INV45318V,CT5347126,GLUTEN-FREE BROWNIE BITES,10,11,110
C1044,27/01/2024,INV45318W,CT6193754,CHOCOLATE-DIPPED BISCOTTI FINGERS,16,12,192
C1049,27/01/2024,INV45318X,CT2671398,CHOCOLATE-COVERED ESPRESSO BEANS,7,13,91
C1053,27/01/2024,INV45318Y,CT6193754,CHOCOLATE-DIPPED BISCOTTI FINGERS,8,12,96
C1063,27/01/2024,INV45318Z,CT2671398,CHOCOLATE-COVERED ESPRESSO BEANS,7,13,91
C1068,27/01/2024,INV45318A,CT9564237,PLANT-BASED MINI COOKIES,8,9,72
C1041,28/01/2024,INV45319B,CT6193754,CHOCOLATE-DIPPED BISCOTTI FINGERS,5,12,60
C1056,28/01/2024,INV45319C,CT9564237,PLANT-BASED MINI COOKIES,7,9,63
C1065,28/01/2024,INV45319D,CT4923568,MINI COOKIE POUCH,11,5,55
C1004,29/01/2024,INV45320E,CT5347126,GLUTEN-FREE BROWNIE BITES,7,11,77
C1005,29/01/2024,INV45320F,CT6193754,CHOCOLATE-DIPPED BISCOTTI FINGERS,6,12,72
C1035,29/01/2024,INV45320G,CT8152376,DIY COOKIE MIX,19,14,266
C1099,29/01/2024,INV45320H,CT3825961,MAPLE-CRUSTED PECANS,5,10,50
C1026,30/01/2024,INV45321I,CT9564237,PLANT-BASED MINI COOKIES,9,9,81
C1033,30/01/2024,INV45321J,CT8152376,DIY COOKIE MIX,10,14,140
C1053,30/01/2024,INV45321K,CT8239476,SWEET TOOTH BOX,7,15,105
C1069,30/01/2024,INV45321L,CT8239476,SWEET TOOTH BOX,8,15,120
C1069,30/01/2024,INV45321M,CT5347126,GLUTEN-FREE BROWNIE BITES,15,11,165
C1017,31/01/2024,INV45322N,CT6193754,MINI COOKIE POUCH,5,5,60
C1034,31/01/2024,INV45322O,CT6193754,CHOCOLATE-DIPPED BISCOTTI FINGERS,16,12,192
C1035,31/01/2024,INV45322P,CT8239476,SWEET TOOTH BOX,23,15,345
C1046,31/01/2024,INV45322Q,CT8239476,SWEET TOOTH BOX,10,15,150
C1048,31/01/2024,INV45322R,CT8239476,SWEET TOOTH BOX,8,15,120
C1050,31/01/2024,INV45322S,CT8712654,BROWNIE BITES,8,7,56
C1064,31/01/2024,INV45322T,CT8712654,BROWNIE BITES,13,7,91
C1068,31/01/2024,INV45322U,CT8712654,BROWNIE BITES,10,7,70
C1082,31/01/2024,INV45322V,CT5347126,GLUTEN-FREE BROWNIE BITES,9,11,99
C1007,01/02/2024,INV45323W,CT5347126,GLUTEN-FREE BROWNIE BITES,7,11,77
C1039,01/02/2024,INV45323X,CT8239476,SWEET TOOTH BOX,12,15,180
C1036,02/02/2024,INV45324Y,CT9564237,PLANT-BASED MINI COOKIES,7,9,63
C1043,02/02/2024,INV45324Z,CT3981567,HONEY-ROASTED ALMOND BRITTLE,7,6,42
C1059,02/02/2024,INV45324A,CT3981567,HONEY-ROASTED ALMOND BRITTLE,7,6,42
C1060,02/02/2024,INV45324B,CT3981567,HONEY-ROASTED ALMOND BRITTLE,11,6,66
C1087,02/02/2024,INV45324C,CT3825961,MAPLE-CRUSTED PECANS,8,10,80
C1011,03/02/2024,INV45325D,CT4923568,MINI COOKIE POUCH,11,5,55
C1027,03/02/2024,INV45325E,CT6193754,CHOCOLATE-DIPPED BISCOTTI FINGERS,8,12,96
C1041,03/02/2024,INV45325F,CT9564237,PLANT-BASED MINI COOKIES,6,9,54
C1051,03/02/2024,INV45325G,CT8152376,PLANT-BASED MINI COOKIES,8,9,112
C1054,03/02/2024,INV45325H,CT9564237,PLANT-BASED MINI COOKIES,7,9,63
C1062,03/02/2024,INV45325I,CT2671398,CHOCOLATE-COVERED ESPRESSO BEANS,10,13,130
C1001,04/02/2024,INV45326J,CT8239476,SWEET TOOTH BOX,8,15,120
C1009,04/02/2024,INV45326K,CT6193754,CHOCOLATE-DIPPED BISCOTTI FINGERS,18,12,216
C1024,04/02/2024,INV45326L,CT8239476,SWEET TOOTH BOX,16,15,240
C1040,04/02/2024,INV45326M,CT8712654,BROWNIE BITES,7,7,49
C1041,04/02/2024,INV45326N,CT4923568,MINI COOKIE POUCH,5,5,25
C1042,04/02/2024,INV45326O,CT2671398,CHOCOLATE-COVERED ESPRESSO BEANS,9,13,117
C1045,04/02/2024,INV45326P,CT3981567,HONEY-ROASTED ALMOND BRITTLE,9,6,54
C1059,04/02/2024,INV45326Q,CT8641935,FREEZE-DRIED FRUIT CHIPS,14,8,112
C1063,04/02/2024,INV45326R,CT3825961,MAPLE-CRUSTED PECANS,9,10,90
C1065,04/02/2024,INV45326S,CT6193754,CHOCOLATE-DIPPED BISCOTTI FINGERS,8,12,96
C1007,05/02/2024,INV45327T,CT9564237,PLANT-BASED MINI COOKIES,7,9,63
C1021,05/02/2024,INV45327U,CT9564237,PLANT-BASED MINI COOKIES,7,9,63
C1021,05/02/2024,INV45327V,CT8641935,FREEZE-DRIED FRUIT CHIPS,8,8,64
C1034,05/02/2024,INV45327W,CT3825961,MAPLE-CRUSTED PECANS,16,10,160
C1037,05/02/2024,INV45327X,CT8152376,DIY COOKIE MIX,7,14,98
C1050,05/02/2024,INV45327Y,CT2671398,CHOCOLATE-COVERED ESPRESSO BEANS,10,13,130
C1052,05/02/2024,INV45327Z,CT3981567,GLUTEN-FREE BROWNIE BITES,7,11,42
C1054,05/02/2024,INV45327A,CT6193754,CHOCOLATE-DIPPED BISCOTTI FINGERS,7,12,84
C1056,05/02/2024,INV45327B,CT6193754,CHOCOLATE-DIPPED BISCOTTI FINGERS,9,12,108
C1065,05/02/2024,INV45327C,CT2671398,CHOCOLATE-COVERED ESPRESSO BEANS,7,13,91
C1077,05/02/2024,INV45327D,CT3825961,MAPLE-CRUSTED PECANS,6,10,60
C1006,06/02/2024,INV45328E,CT3825961,MAPLE-CRUSTED PECANS,10,10,100
C1053,06/02/2024,INV45328F,CT2671398,CHOCOLATE-COVERED ESPRESSO BEANS,4,13,52
C1054,06/02/2024,INV45328G,CT9564237,PLANT-BASED MINI COOKIES,9,9,81
C1072,06/02/2024,INV45328H,CT3825961,MAPLE-CRUSTED PECANS,7,10,70
C1007,07/02/2024,INV45329I,CT2671398,CHOCOLATE-COVERED ESPRESSO BEANS,8,13,104
C1016,07/02/2024,INV45329J,CT8152376,DIY COOKIE MIX,14,14,196
C1023,07/02/2024,INV45329K,CT4923568,MINI COOKIE POUCH,13,5,65
C1025,07/02/2024,INV45329L,CT3981567,HONEY-ROASTED ALMOND BRITTLE,6,6,36
C1064,07/02/2024,INV45329M,CT8152376,DIY COOKIE MIX,13,14,182
C1067,07/02/2024,INV45329N,CT5347126,GLUTEN-FREE BROWNIE BITES,6,11,66
C1073,07/02/2024,INV45329O,CT5347126,GLUTEN-FREE BROWNIE BITES,13,11,143
C1075,07/02/2024,INV45329P,CT3825961,MAPLE-CRUSTED PECANS,9,10,90
C1012,08/02/2024,INV45330Q,CT5347126,GLUTEN-FREE BROWNIE BITES,8,11,88
C1024,08/02/2024,INV45330R,CT4923568,MINI COOKIE POUCH,9,5,45
C1026,08/02/2024,INV45330S,CT8712654,BROWNIE BITES,13,7,91
C1043,08/02/2024,INV45330T,CT8152376,DIY COOKIE MIX,9,14,126
C1046,08/02/2024,INV45330U,CT3825961,MAPLE-CRUSTED PECANS,8,10,80
C1060,08/02/2024,INV45330V,CT6193754,CHOCOLATE-DIPPED BISCOTTI FINGERS,6,12,72
C1021,09/02/2024,INV45331W,CT8712654,BROWNIE BITES,11,7,77
C1036,09/02/2024,INV45331X,CT2671398,CHOCOLATE-COVERED ESPRESSO BEANS,14,13,182
C1040,09/02/2024,INV45331Y,CT5347126,GLUTEN-FREE BROWNIE BITES,15,11,165
C1042,09/02/2024,INV45331Z,CT8152376,DIY COOKIE MIX,12,14,168
C1053,09/02/2024,INV45331A,CT3981567,HONEY-ROASTED ALMOND BRITTLE,6,6,36
C1091,09/02/2024,INV45331B,CT6193754,CHOCOLATE-DIPPED BISCOTTI FINGERS,8,12,96
C1008,10/02/2024,INV45332C,CT9564237,PLANT-BASED MINI COOKIES,9,9,81
C1017,10/02/2024,INV45332D,CT2671398,PLANT-BASED MINI COOKIES,6,9,78
C1025,10/02/2024,INV45332E,CT5347126,GLUTEN-FREE BROWNIE BITES,5,11,55
C1040,10/02/2024,INV45332F,CT8641935,FREEZE-DRIED FRUIT CHIPS,10,8,80
C1041,10/02/2024,INV45332G,CT6193754,CHOCOLATE-DIPPED BISCOTTI FINGERS,8,12,96
C1064,10/02/2024,INV45332H,CT8712654,BROWNIE BITES,11,7,77
C1072,10/02/2024,INV45332I,CT5347126,GLUTEN-FREE BROWNIE BITES,8,11,88
C1012,11/02/2024,INV45333J,CT5347126,GLUTEN-FREE BROWNIE BITES,14,11,154
C1026,11/02/2024,INV45333K,CT2671398,CHOCOLATE-COVERED ESPRESSO BEANS,13,13,169
