customer_id,age,gender,days_since_last_signed_in,distance_from_gym,works_at_partner_company,discounted_signup,avg_monthly_visits,attends_group_classes,referred_by_friend,churned,predicted_churned,churn_probability
FG10030O,55,1,37,0,0,1,15,1,1,1,1,0.98
FG10031T,54,1,26,2,0,1,8,1,1,1,1,0.95
FG10032N,33,0,9,1,0,0,19,1,1,0,0,0.0
FG10033M,24,0,32,2,0,1,10,0,0,0,0,0.2
FG10034F,42,0,50,0,0,1,13,1,1,1,1,0.98
FG10035O,21,1,45,1,0,0,15,0,1,0,0,0.09
FG10036V,38,0,2,0,0,1,18,1,0,0,0,0.01
FG10037Y,46,0,38,0,0,0,4,0,0,1,1,0.99
FG10038R,21,1,24,1,0,0,1,1,1,0,0,0.06
FG10039J,34,1,35,0,0,1,5,0,0,1,1,0.97
FG10040M,42,0,29,0,0,1,4,0,0,1,1,0.96
FG10041F,36,0,55,1,1,1,24,0,0,0,0,0.04
FG10042T,56,0,19,0,0,1,9,1,0,1,1,0.96
FG10043T,31,0,21,1,0,1,23,0,1,0,0,0.05
FG10044R,20,0,24,1,0,1,20,0,1,0,0,0.01
FG10045L,26,0,29,0,1,1,15,1,0,0,0,0.23
FG10046O,34,1,30,0,0,1,10,0,1,1,1,0.93
FG10047A,47,1,27,0,0,0,14,1,1,0,0,0.7
FG10048Y,37,1,20,0,0,1,2,1,1,1,1,0.94
FG10049Q,60,0,21,0,0,1,12,1,1,1,1,0.97
FG10050M,39,0,29,0,0,1,15,1,0,1,1,0.94
FG10051Z,34,0,22,2,0,1,2,0,0,1,1,0.59
FG10052H,30,1,49,2,0,1,2,1,0,1,1,0.8
FG10053S,41,1,29,1,1,1,10,1,1,0,0,0.1
FG10054D,44,1,33,1,1,0,4,0,0,0,0,0.06
FG10055H,43,0,54,1,0,1,24,0,1,0,0,0.03
FG10056G,25,0,6,0,0,0,19,0,0,0,0,0.0
FG10057Y,42,0,29,0,0,1,13,0,1,1,1,0.98
FG10058A,38,0,28,0,0,1,9,1,0,1,1,0.88
FG10059Q,43,1,53,0,0,1,12,0,1,1,1,0.99
FG10060Y,31,1,30,0,0,1,9,1,1,0,0,0.17
FG10061U,33,1,20,0,0,0,1,1,1,0,0,0.25
FG10062A,23,1,47,1,0,0,2,0,0,0,0,0.05
FG10063U,33,0,42,0,0,1,11,0,1,1,1,0.96
FG10064E,43,0,20,1,0,1,5,1,0,0,0,0.14
FG10065K,48,0,4,1,1,0,22,1,1,0,0,0.04
FG10066K,33,1,12,0,0,1,9,0,1,1,1,0.62
FG10067O,45,0,37,0,0,1,4,1,1,1,1,0.98
FG10068Q,37,1,9,2,0,0,6,0,1,0,0,0.01
FG10069Z,53,0,39,0,0,1,5,0,1,1,1,1.0
FG10070L,36,1,14,1,0,0,20,0,0,0,0,0.11
FG10071J,28,1,43,0,1,1,12,0,1,0,0,0.01
FG10072Y,33,0,45,0,0,1,22,0,1,0,0,0.08
FG10073U,40,0,22,1,1,0,20,0,1,0,0,0.08
FG10074N,47,1,42,0,0,1,8,0,1,1,1,1.0
FG10075R,42,1,23,0,0,1,11,0,0,1,1,0.89
FG10076T,34,0,51,1,0,0,23,1,0,0,0,0.13
FG10077L,34,1,43,1,1,0,4,1,0,0,0,0.01
FG10078P,37,1,27,1,0,1,12,1,0,0,0,0.12
FG10079H,18,1,21,1,1,1,9,1,1,0,0,0.1
FG10080N,36,1,44,2,0,1,6,0,0,1,1,0.92
FG10081R,37,0,44,0,0,0,7,0,1,0,0,0.25
FG10082F,49,0,11,0,0,1,14,0,0,1,1,0.72
FG10083H,28,0,37,0,1,0,11,1,1,0,0,0.04
FG10084K,24,0,46,0,0,1,13,1,1,0,0,0.43
FG10085Z,28,1,27,1,0,1,10,0,0,0,0,0.0
FG10086P,44,0,24,2,0,1,11,1,0,0,0,0.31
FG10087G,37,1,37,0,0,1,24,0,0,0,0,0.118
FG10088I,29,1,53,2,0,0,22,1,1,0,0,0.04
FG10089E,39,1,24,0,0,1,15,0,1,1,1,0.84
FG10090Z,34,0,7,1,1,1,3,1,0,0,0,0.0
FG10091Q,45,0,30,0,0,1,5,0,0,1,1,0.96
FG10092O,53,1,23,0,0,1,7,0,0,1,1,1.0
FG10093Y,55,0,16,0,0,1,12,0,1,1,1,0.89
FG10094E,50,0,32,0,0,1,4,0,1,1,1,1.0
FG10095H,44,0,20,0,0,1,14,0,0,1,1,0.65
FG10096O,38,0,43,2,0,0,3,1,1,0,0,0.56
FG10097J,37,0,20,0,0,1,8,0,0,1,1,0.87
FG10098Z,35,0,21,2,0,1,1,0,1,1,1,0.85
FG10099A,31,0,0,0,1,0,8,0,1,0,0,0.02
FG10100C,20,0,53,1,0,0,13,1,0,0,0,0.05
FG10101F,48,1,42,2,0,1,8,1,0,1,1,0.99
FG10102Q,53,1,39,2,0,1,2,0,0,1,1,0.99
FG10103G,36,0,37,0,0,1,2,0,1,1,1,0.98
FG10104Q,60,1,51,0,0,1,8,0,1,1,1,1.0
FG10105Z,40,1,25,0,0,1,11,0,0,0,0,0.39
FG10106H,51,0,42,0,0,1,3,0,1,1,1,1.0
FG10107K,37,1,16,0,1,1,7,0,1,1,1,0.84
FG10108G,37,0,53,0,0,1,14,0,0,1,1,0.97
FG10109C,35,0,31,2,0,1,10,1,1,1,1,0.87
FG10110K,17,0,28,2,1,0,14,0,0,0,0,0.09
FG10111P,35,0,34,0,1,1,13,0,1,1,1,0.86
FG10112R,34,1,23,1,0,1,22,0,0,0,0,0.04
FG10113O,20,1,48,2,0,0,2,0,0,0,0,0.04
FG10114A,32,0,22,1,0,1,7,1,1,0,0,0.09
FG10115Z,36,0,36,0,0,1,9,1,0,0,0,0.3
FG10116K,34,1,36,0,0,1,5,1,1,1,1,0.9
FG10117L,25,1,20,1,0,1,11,0,0,0,0,0.0
FG10118J,49,0,52,2,0,0,8,1,1,1,1,0.79
FG10119S,42,1,17,0,0,0,11,1,1,1,1,0.81
FG10120B,43,0,6,1,1,0,2,0,0,0,0,0.0
FG10121V,25,1,17,1,1,0,11,0,1,0,0,0.03
FG10122L,49,1,11,2,0,0,8,0,1,0,0,0.26
FG10123J,20,1,45,2,0,1,3,1,0,0,0,0.14
FG10124H,40,0,24,0,1,1,14,1,0,1,1,0.82
FG10125I,36,1,27,1,1,1,6,1,0,0,0,0.05
FG10126H,24,0,27,0,0,1,20,1,0,0,0,0.01
FG10127H,29,1,18,1,1,0,22,0,0,0,0,0.01
FG10128A,35,0,24,0,0,0,5,0,1,1,1,0.75
FG10129G,30,1,42,0,0,1,1,0,1,1,1,0.85
FG10130A,40,0,41,0,0,1,8,0,1,1,1,0.97
FG10131M,35,1,16,0,0,1,6,1,1,1,1,0.96
FG10132I,35,0,33,0,0,1,1,1,0,1,1,0.8
FG10133M,40,0,32,2,0,0,14,1,1,1,1,0.85
FG10134U,45,0,19,0,0,1,8,0,1,1,1,0.71
FG10135U,25,0,39,1,0,0,20,1,0,0,0,0.15
FG10136A,30,0,38,2,0,1,5,1,0,1,1,0.85
FG10137I,32,0,32,1,0,0,6,1,0,0,0,0.13
FG10138R,44,0,31,0,0,1,5,0,1,1,1,0.97
FG10139C,20,0,6,1,0,1,15,1,1,0,0,0.0
FG10140M,36,0,29,0,0,1,9,0,1,1,1,0.97
FG10141Z,49,1,51,0,1,0,16,1,0,0,0,0.2
FG10142P,18,0,8,1,0,0,17,0,0,0,0,0.0
FG10143F,35,1,38,2,0,1,8,1,0,1,1,0.95
FG10144F,36,0,37,0,1,1,5,1,1,0,0,0.62
FG10145M,41,0,27,0,0,1,14,0,1,1,1,0.96
FG10146Q,57,0,42,0,0,1,12,0,0,1,1,1.0
FG10147K,54,0,24,0,0,1,14,0,1,1,1,1.0
FG10148B,40,1,8,1,0,1,13,1,0,0,0,0.0
FG10149L,37,0,24,1,1,0,22,0,1,0,0,0.31
FG10150F,38,0,16,2,1,0,21,0,1,0,0,0.15
FG10151Q,39,1,38,0,0,1,2,1,1,1,1,0.95
FG10152K,29,1,13,0,0,0,5,1,0,0,0,0.0
FG10153O,38,0,28,1,0,1,18,0,1,0,0,0.01
FG10154X,36,0,48,2,1,1,3,1,0,0,0,0.08
FG10155L,51,1,22,0,0,1,14,1,0,1,1,0.98
FG10156O,26,1,4,1,0,0,9,0,0,0,0,0.0
FG10157R,38,1,24,0,0,0,19,1,0,0,0,0.45
FG10158X,23,0,16,0,0,1,4,0,0,1,1,0.68
FG10159O,41,1,32,0,0,1,3,1,1,1,1,1.0
FG10160V,26,1,18,1,0,1,20,1,1,0,0,0.02
FG10161X,40,1,9,1,0,1,4,1,1,0,0,0.02
FG10162V,47,0,36,1,1,1,18,1,1,0,0,0.04
FG10163K,38,0,33,2,0,1,4,0,0,1,1,0.87
FG10164B,45,1,50,1,1,0,23,1,1,0,0,0.04
FG10165K,40,1,27,2,1,0,4,1,0,0,0,0.07
FG10166T,45,1,43,0,0,1,1,1,1,1,1,0.99
FG10167G,18,1,33,1,1,0,18,0,0,0,0,0.03
FG10168R,33,1,23,0,0,1,11,1,0,1,1,0.62
FG10169I,34,0,16,2,0,1,1,1,0,1,1,0.91
FG10170U,26,0,4,2,0,1,5,1,0,0,0,0.01
FG10171Z,48,0,35,0,0,1,13,1,0,1,1,0.97
FG10172E,35,0,7,1,1,1,16,0,1,0,0,0.0
FG10173B,39,0,4,1,1,1,9,0,1,0,0,0.0
FG10174M,37,1,34,0,0,1,7,0,1,1,1,0.99
FG10175J,43,0,16,0,1,1,21,0,0,0,0,0.225
FG10176F,35,0,2,2,1,1,23,1,1,0,0,0.01
FG10177T,48,0,33,0,0,1,13,1,0,1,1,0.93
FG10178F,33,0,33,2,0,1,11,1,1,1,1,0.84
FG10179Q,37,1,53,0,0,0,19,1,0,0,0,0.4
FG10180Z,43,0,49,0,0,1,7,0,0,1,1,0.98
FG10181Y,24,0,24,1,1,1,21,0,1,0,0,0.0
FG10182E,23,1,45,0,1,0,22,0,1,0,0,0.07
FG10183W,39,0,33,2,0,1,15,1,1,0,0,0.26
FG10184C,33,1,50,0,0,0,5,1,1,1,1,0.72
FG10185K,42,1,52,2,0,1,8,0,1,1,1,1.0
FG10186F,39,0,52,1,1,0,3,1,0,0,0,0.06
FG10187M,33,1,23,1,0,1,16,0,0,0,0,0.08
FG10188N,58,1,42,0,0,1,13,1,0,1,1,1.0
FG10189N,19,0,41,0,0,1,8,1,0,0,0,0.1
FG10190K,29,1,43,1,1,1,18,1,0,0,0,0.0
FG10191L,42,0,27,2,1,1,21,1,1,0,0,0.04
FG10192G,37,1,6,0,1,1,2,1,0,0,0,0.1
FG10193D,51,0,38,0,0,1,14,1,1,1,1,1.0
FG10194Q,38,0,23,0,0,1,14,1,0,1,1,0.9
FG10195N,39,0,36,0,0,1,13,1,1,1,1,0.84
FG10196Q,46,0,20,2,0,1,15,1,0,1,1,0.44
FG10197I,35,1,27,0,0,1,4,0,1,1,1,0.82
FG10198L,33,1,32,0,0,1,2,1,1,1,1,0.95
FG10199V,53,1,18,2,0,1,3,0,0,1,1,0.92
FG10200E,39,0,24,2,1,1,23,1,0,0,0,0.03
FG10201R,40,0,38,0,0,0,7,1,0,0,0,0.33
FG10202E,45,1,26,0,0,1,8,0,1,1,1,0.98
FG10203E,44,0,52,0,0,1,10,0,0,1,1,0.97
FG10204S,44,1,37,2,0,1,5,0,1,1,1,1.0
FG10205S,37,0,28,0,1,1,8,1,1,1,1,0.85
FG10206G,40,0,44,2,0,1,6,0,0,1,1,0.98
FG10207B,40,1,0,1,0,1,13,0,0,0,0,0.0
FG10208T,39,0,52,0,0,0,7,1,0,1,1,0.75
FG10209U,37,1,28,1,0,1,2,1,1,0,0,0.11
FG10210B,41,0,8,0,1,0,9,1,0,0,0,0.01
FG10211R,46,0,43,2,0,0,18,1,1,0,0,0.23
FG10212H,45,1,23,0,0,0,13,0,1,0,0,0.15
FG10213L,41,1,49,2,1,1,13,1,0,0,0,0.13
FG10214M,31,1,46,1,0,1,1,0,1,0,0,0.32
FG10215U,40,0,22,0,1,1,13,0,0,0,0,0.26
FG10216G,33,0,23,2,0,1,6,1,1,1,1,0.82
FG10217K,51,1,36,0,0,0,8,1,0,1,1,0.97
FG10218A,51,0,54,0,0,1,8,1,0,1,1,0.99
FG10219P,36,0,18,0,0,0,13,0,0,0,0,0.21
FG10220B,59,1,50,2,0,0,2,1,1,1,1,0.92
FG10221G,59,1,15,2,0,1,6,1,0,1,1,0.87
FG10222H,40,0,26,1,0,0,3,1,1,0,0,0.29
FG10223G,18,0,40,2,1,0,17,1,0,0,0,0.04
FG10224E,48,1,22,0,0,1,9,0,0,1,1,0.94
FG10225F,44,1,10,1,1,0,1,0,1,0,0,0.0
FG10226J,35,0,30,2,0,1,4,0,0,1,1,0.89
FG10227A,24,0,33,1,0,1,16,0,1,0,0,0.06
FG10228Y,52,1,27,2,0,1,8,1,1,1,1,0.97
FG10229C,39,1,17,0,0,1,12,1,1,1,1,0.95
FG10230S,28,0,30,1,0,1,21,0,0,0,0,0.03
FG10231F,36,0,17,0,1,1,9,1,1,1,1,0.93
FG10232P,34,1,16,1,1,0,2,1,0,0,0,0.07
FG10233C,29,1,54,0,0,1,19,0,0,0,0,0.04
FG10234I,57,0,37,0,0,0,7,1,1,1,1,0.97
FG10235C,42,1,0,1,1,0,4,0,0,0,0,0.01
FG10236H,19,1,33,2,1,1,22,0,0,0,0,0.02
FG10237X,38,0,46,1,1,1,24,1,1,0,0,0.01
FG10238F,59,1,18,0,0,1,4,1,0,1,1,0.92
FG10239G,43,0,35,0,0,1,9,0,0,1,1,0.83
FG10240F,27,0,0,0,0,0,13,0,0,0,0,0.12
FG10241G,34,1,1,2,0,1,1,0,0,1,1,0.7
FG10242R,39,1,40,0,0,1,9,0,1,1,1,0.98
FG10243F,42,0,15,2,0,1,15,1,0,1,1,0.67
FG10244K,22,0,49,1,1,1,6,0,1,0,0,0.01
FG10245F,29,0,43,1,0,0,12,0,1,0,0,0.03
FG10246F,30,0,28,2,1,0,7,1,1,0,0,0.02
FG10247R,26,1,14,0,0,1,12,1,1,0,0,0.04
FG10248B,18,0,47,0,1,1,11,0,1,0,0,0.2
FG10249L,40,1,26,0,1,0,12,1,1,0,0,0.13
FG10250O,22,1,24,1,1,1,16,1,0,0,0,0.02
FG10251Q,46,1,16,0,0,1,1,1,1,1,1,0.9
FG10252K,55,1,25,0,0,1,10,0,0,1,1,0.95
FG10253C,46,0,27,0,0,1,9,0,1,1,1,0.97
FG10254V,20,1,7,1,1,0,13,1,0,0,0,0.0
FG10255Q,28,1,8,0,0,1,24,1,1,0,0,0.0
FG10256F,50,1,21,0,0,1,9,0,1,1,1,0.99
FG10257I,27,0,12,1,0,0,18,0,0,0,0,0.0
FG10258Q,38,0,48,2,0,1,2,1,0,0,0,0.33
FG10259V,41,1,20,0,0,1,6,1,1,1,1,0.94
FG10260S,37,1,19,0,1,1,10,0,0,1,1,0.79
FG10261T,34,1,31,0,0,1,12,1,1,1,1,0.84
FG10262U,37,0,28,0,0,1,13,1,0,1,1,0.96
FG10263L,32,0,21,0,0,1,4,1,1,1,1,0.84
FG10264J,33,0,38,1,1,0,4,1,0,0,0,0.05
FG10265S,33,0,17,2,0,1,1,1,0,1,1,0.93
FG10266H,49,1,48,2,0,1,13,0,0,1,1,0.96
FG10267O,20,0,10,2,1,1,24,0,0,0,0,0.01
FG10268M,28,0,2,1,1,0,5,1,1,0,0,0.0
FG10269T,36,1,50,0,0,1,4,0,1,1,1,0.97
FG10270C,48,1,45,0,0,1,12,0,1,1,1,0.99
FG10271Z,20,0,34,1,0,1,19,0,1,0,0,0.05
FG10272S,47,0,41,0,0,0,13,1,1,1,1,0.89
FG10273W,34,1,49,0,0,1,11,0,1,1,1,0.98
FG10274Z,48,0,36,2,0,1,5,1,1,1,1,0.91
FG10275H,39,0,53,0,0,1,2,0,1,1,1,0.98
FG10276C,38,1,23,1,1,1,22,1,0,0,0,0.04
FG10277N,47,1,45,2,0,1,7,1,1,1,1,1.0
FG10278P,34,1,16,1,0,1,4,1,0,0,0,0.1
FG10279P,60,0,52,0,0,1,11,0,0,1,1,1.0
FG10280M,36,1,7,0,0,0,13,0,1,1,1,0.63
FG10281V,40,1,39,0,0,1,15,0,0,1,1,0.98
FG10282K,50,0,26,2,0,1,13,1,0,1,1,0.99
FG10283E,22,0,49,1,0,0,19,1,1,0,0,0.05
FG10284P,31,1,53,0,0,1,23,0,0,0,0,0.0
FG10285R,25,1,48,0,0,1,2,1,1,1,1,0.77
FG10286W,33,0,21,0,0,1,7,1,1,1,1,0.95
FG10287H,41,0,18,0,0,1,13,0,0,1,1,0.55
FG10288S,37,1,40,0,0,1,3,1,1,1,1,1.0
FG10289L,30,1,39,0,0,1,9,0,1,1,1,0.83
FG10290W,32,0,3,0,1,1,8,1,0,0,0,0.01
FG10291U,39,0,42,0,0,1,14,1,0,1,1,0.98
FG10292Z,54,0,32,0,0,1,8,0,1,1,1,1.0
FG10293H,43,0,51,1,1,0,1,0,1,0,0,0.04
FG10294J,38,1,16,2,0,1,22,1,1,0,0,0.09
FG10295O,53,1,42,2,0,1,1,1,0,1,1,0.98
FG10296M,42,0,45,0,0,1,1,1,1,1,1,0.98
FG10297S,37,0,36,2,0,1,14,0,0,1,1,0.84
FG10298Y,42,0,42,0,1,1,15,1,0,1,1,0.64
FG10299S,42,1,30,0,0,1,4,0,1,1,1,0.99
FG10300B,58,0,40,0,0,1,8,0,0,1,1,0.98
FG10301P,29,0,32,0,1,1,18,0,0,0,0,0.03
FG10302V,42,1,33,1,0,1,13,1,1,0,0,0.21
FG10303F,39,1,36,0,0,1,12,1,0,1,1,0.92
FG10304O,34,0,53,2,0,1,13,0,0,1,1,0.93
FG10305A,36,0,23,2,1,0,23,1,1,0,0,0.08
FG10306S,48,0,11,1,1,0,20,1,1,0,0,0.03
FG10307L,41,0,44,0,0,1,2,1,1,1,1,0.99
FG10308Y,41,1,50,0,0,1,9,0,1,1,1,0.99
FG10309P,48,1,18,0,0,0,9,0,0,1,1,0.73
FG10310S,33,0,45,1,1,0,14,0,1,0,0,0.03
FG10311P,46,0,55,1,0,0,23,1,1,0,0,0.06
FG10312E,42,0,33,1,0,1,8,0,0,0,0,0.18
FG10313H,44,0,35,2,1,0,5,1,0,0,0,0.09
FG10314O,48,1,30,1,0,1,19,1,1,0,0,0.11
FG10315C,33,0,35,0,0,1,2,1,0,1,1,0.84
FG10316R,42,1,19,0,0,1,14,1,1,1,1,0.94
FG10317X,60,1,39,0,0,1,10,0,0,1,1,1.0
FG10318B,37,1,48,2,0,1,4,0,1,1,1,0.97
FG10319X,33,1,55,0,0,0,2,0,1,1,1,0.81
FG10320C,35,1,38,2,1,0,11,0,0,0,0,0.12
FG10321S,40,1,53,2,0,0,3,1,0,0,0,0.12
FG10322K,27,1,36,1,0,1,15,0,0,0,0,0.1
FG10323A,33,1,51,1,1,0,16,0,0,0,0,0.02
FG10324O,23,0,27,2,0,1,9,0,1,0,0,0.03
FG10325H,36,1,46,2,0,1,7,0,1,1,1,0.95
FG10326Q,48,1,32,0,0,1,3,1,0,1,1,0.98
FG10327F,42,0,32,0,0,0,18,1,0,0,0,0.26
FG10328H,42,0,25,0,1,1,1,1,0,1,1,0.87
FG10329T,41,0,6,1,1,0,14,1,1,0,0,0.0
FG10330M,34,1,26,0,0,1,2,0,1,0,0,0.26
FG10331U,53,0,21,2,0,1,4,0,0,1,1,0.98
FG10332A,35,0,39,0,0,1,18,0,1,0,0,0.14
FG10333L,37,1,33,0,0,1,9,1,0,1,1,0.78
FG10334N,45,1,27,0,1,1,7,1,0,1,1,0.78
FG10335Y,33,0,40,0,0,1,7,1,1,1,1,0.98
FG10336C,27,1,24,1,0,0,1,0,0,0,0,0.04
FG10337G,57,1,28,2,0,1,12,0,0,1,1,0.99
FG10338X,39,1,9,1,0,0,23,1,1,0,0,0.0
FG10339Z,28,0,14,1,0,0,2,1,1,0,0,0.0
FG10340P,45,0,45,0,0,1,8,1,1,1,1,1.0
FG10341G,37,1,30,0,0,1,6,1,0,1,1,0.95
FG10342V,38,0,34,0,0,0,24,0,0,0,0,0.24
FG10343O,28,0,48,1,1,1,8,1,1,0,0,0.02
FG10344A,55,0,36,0,0,0,4,1,1,1,1,0.98
FG10345F,38,1,53,0,0,1,6,0,1,1,1,0.99
FG10346T,30,0,46,0,0,1,12,1,0,1,1,0.88
FG10347S,22,1,39,1,1,1,23,1,0,0,0,0.0
FG10348N,27,0,25,2,1,0,9,1,0,0,0,0.02
FG10349C,30,1,42,1,0,1,12,1,0,0,0,0.17
FG10350V,38,1,10,1,0,0,6,1,0,0,0,0.0
FG10351O,49,1,33,0,1,1,1,1,0,0,0,0.74
FG10352W,43,0,55,0,0,1,11,0,0,1,1,0.95
FG10353F,34,1,24,0,0,1,7,1,0,1,1,0.83
FG10354U,35,0,26,1,1,0,24,0,0,0,0,0.29
FG10355W,42,1,48,2,0,1,8,0,1,1,1,0.99
FG10356W,34,0,52,2,0,1,12,0,0,1,1,0.93
FG10357M,32,0,35,2,0,0,11,0,0,0,0,0.19
FG10358J,40,0,54,0,0,1,6,1,1,1,1,0.99
FG10359Y,30,0,42,0,0,1,5,0,0,1,1,0.85
FG10360W,40,0,1,1,0,1,7,0,0,0,0,0.01
FG10361U,50,1,21,2,0,1,11,1,1,1,1,0.97
FG10362R,34,0,24,2,1,0,10,0,0,0,0,0.14
FG10363Y,38,1,36,2,0,1,9,1,0,1,1,0.98
FG10364Z,39,0,7,1,0,0,19,1,0,0,0,0.0
FG10365U,56,0,54,0,0,0,3,1,0,1,1,0.92
FG10366Q,37,1,35,0,0,1,5,0,0,1,1,0.96
FG10367B,36,1,35,1,0,1,20,0,0,0,0,0.14
FG10368X,34,1,37,1,1,1,13,1,1,0,0,0.04
FG10369H,53,0,53,0,0,1,3,1,0,1,1,1.0
FG10370E,37,0,20,2,0,1,4,1,0,1,1,0.85
FG10371O,39,0,29,0,0,1,14,0,0,1,1,0.85
FG10372G,48,0,24,0,0,1,10,0,0,1,1,0.95
FG10373T,44,0,51,0,0,1,24,0,0,0,0,0.317
FG10374C,67,1,3,2,1,0,23,1,0,0,0,0.13
FG10375A,38,1,42,0,0,0,6,1,0,1,1,0.94
FG10376U,42,0,44,0,0,1,4,1,0,1,1,0.98
FG10377O,37,0,13,1,1,1,17,0,0,0,0,0.05
FG10378B,55,0,18,0,0,1,12,1,1,1,1,0.96
FG10379O,44,1,45,0,0,1,8,1,0,1,1,0.99
FG10380P,51,0,27,0,0,1,9,0,0,1,1,1.0
FG10381G,27,1,35,0,0,1,11,1,1,0,0,0.18
FG10382K,18,0,27,1,0,0,23,1,1,0,0,0.06
FG10383Z,32,1,6,1,1,0,10,0,0,0,0,0.0
FG10384U,38,0,38,0,0,1,6,0,1,1,1,1.0
FG10385Y,35,1,19,2,0,1,7,1,0,1,1,0.84
FG10386O,38,0,23,0,0,1,5,1,1,1,1,0.96
FG10387S,53,1,20,0,0,1,5,0,1,1,1,0.96
FG10388E,44,0,52,0,1,0,22,0,0,0,0,0.07
FG10389Y,36,1,11,0,0,1,4,1,1,1,1,0.78
FG10390H,35,1,40,0,0,1,9,1,1,1,1,0.98
FG10391A,41,1,20,0,1,1,8,0,1,1,1,0.86
FG10392B,36,0,32,0,0,1,12,0,1,1,1,0.98
FG10393O,54,0,37,0,0,0,1,0,1,1,1,0.95
FG10394M,45,1,37,0,1,1,2,0,1,0,0,0.17
FG10395J,45,1,40,0,0,1,4,1,1,1,1,1.0
FG10396P,54,0,15,0,0,1,8,0,0,1,1,0.99
FG10397D,48,1,50,0,0,1,14,0,0,1,1,0.99
FG10398B,32,1,31,1,1,0,5,1,1,0,0,0.03
FG10399U,46,0,39,0,0,0,6,0,0,1,1,1.0
FG10400Q,20,0,32,0,0,1,5,0,0,0,0,0.15
FG10401X,29,1,42,0,1,0,21,0,1,0,0,0.07
FG10402F,34,1,22,0,0,1,7,0,0,1,1,0.77
FG10403L,34,0,46,0,0,1,6,0,1,1,1,0.98
FG10404Q,31,1,10,1,1,0,7,0,1,0,0,0.0
FG10405P,40,1,16,0,0,1,7,0,1,1,1,0.78
FG10406A,45,0,45,0,0,1,7,1,0,1,1,1.0
FG10407Q,33,0,32,0,0,1,8,1,0,1,1,0.88
FG10408A,34,1,46,2,0,1,10,0,1,1,1,0.92
FG10409D,39,0,14,1,1,0,10,1,0,0,0,0.0
FG10410N,42,0,38,0,0,1,13,0,0,1,1,0.97
FG10411U,22,1,23,1,0,0,10,1,1,0,0,0.01
FG10412U,42,0,34,0,0,1,2,0,1,1,1,1.0
FG10413D,48,1,35,1,0,1,18,1,0,0,0,0.18
FG10414K,39,1,50,0,0,1,1,0,0,1,1,0.95
FG10415V,33,0,44,2,0,1,6,0,0,1,1,0.79
FG10416W,32,0,45,0,1,0,7,0,0,0,0,0.3
FG10417R,37,1,15,1,1,1,12,1,1,0,0,0.08
FG10418U,45,1,16,0,0,1,12,1,1,1,1,0.9
FG10419R,37,1,20,0,1,0,1,0,0,1,1,0.66
FG10420G,36,0,4,2,1,1,23,1,0,0,0,0.01
FG10421P,52,0,32,2,0,1,10,0,0,1,1,0.99
FG10422U,52,1,43,2,0,1,7,1,1,1,1,0.96
FG10423T,45,1,42,0,0,1,10,0,0,1,1,0.99
FG10424I,41,1,33,0,0,0,4,0,0,1,1,0.9
FG10425Q,47,1,9,1,1,1,20,1,1,0,0,0.01
FG10426H,52,1,17,0,0,1,4,1,1,1,1,0.95
FG10427Z,41,1,22,2,0,1,12,1,1,1,1,0.89
FG10428H,45,0,49,1,1,0,2,0,0,0,0,0.06
FG10429A,39,0,24,0,0,1,11,0,0,1,1,0.77
