Date,Headline,vader_sentiment,textblob_sentiment,Close,,
08-10-24,"""Minor disruptions due to supplier delays""",-0.34,-0.0875,15675,,
09-10-24,"""Revenue growth outpaces industry average""",0.3818,-0.15,15696,,
10-10-24,"""Product improvements receive positive press coverage""",0.7096,0.22727272727272727,15784,,
13-10-24,"""Higher taxes reduce net income""",0,0.125,15794,,
14-10-24,"""Steady demand for core product lines""",-0.128,0.16666666666666666,15799,,
15-10-24,"""Company named a top workplace in the industry""",0.2023,0.5,15845,,
16-10-24,"""Operational setbacks cause delays""",0,0,15841,,
17-10-24,"""Improved production processes increase efficiency""",0.7845,0,15919,,
20-10-24,"""Neutral outlook from industry analysts""",0,0,15924,,
21-10-24,"""Strong interest from new investors""",0.743,0.28484848484848485,16001,,
22-10-24,"""Product criticism from a prominent reviewer""",-0.1531,0.5,16032,,
23-10-24,"""Positive performance recognized at industry awards""",0.765,0.22727272727272727,16104,,
24-10-24,"""Minor security breach prompts investigation""",0.34,-0.05,16127,,
27-10-24,"""Customer satisfaction rates remain stable""",0.6249,0,16171,,
28-10-24,"""Higher market share reported in recent analysis""",0.296,0.125,16202,,
29-10-24,"""Technical issues impact some users temporarily""",0,0,16203,,
30-10-24,"""New training program improves employee productivity""",0.4215,0.13636363636363635,16256,,
31-10-24,"""Mixed feedback on updated product features""",0,0,16262,,
03-11-24,"""Improved logistics streamline supply chain""",0.4767,0,16305,,
04-11-24,"""Stock downgraded due to weaker guidance""",-0.4404,-0.125,16278,,
05-11-24,"""Company recognized for sustainable practices""",0,0,16265,,
06-11-24,"""Revenue falls short of analyst expectations""",0,0,16250,,
07-11-24,"""Strong attendance at company’s investor day""",0.5106,0.43333333333333335,16319,,
10-11-24,"""Customer concerns about price increases""",0,0,16319,,
11-11-24,"""Positive reception to new subscription model""",0.5574,0.18181818181818182,16376,,
12-11-24,"""Operational challenges in select markets""",0.0772,0,16391,,
13-11-24,"""Company expands into new geographical regions""",0.1027,0.13636363636363635,16411,,
14-11-24,"""Negative consumer reviews for recent product""",-0.5719,-0.15,16369,,
17-11-24,"""Company culture improvements praised internally""",0.6705,0,16431,,
18-11-24,"""Market trends put pressure on profit margins""",0.1779,0,16452,,
19-11-24,"""Employee satisfaction scores reach new highs""",0.4588,0.13636363636363635,16510,,
20-11-24,"""Production shortfalls lead to stock shortages""",-0.1531,0,16501,,
21-11-24,"""New CEO outlines ambitious growth strategy""",0.6908,0.19318181818181818,16570,,
24-11-24,"""Market conditions remain challenging""",0.1531,0.5,16621,,
25-11-24,"""Notable increase in online sales""",0.3182,0.5,16699,,
26-11-24,"""Key partnership helps drive revenue growth""",0.6369,0,16758,,
27-11-24,"""Product launch delays frustrate customers""",-0.4588,0,16730,,
28-11-24,"""Operational improvements yield cost savings""",0.3182,0,16754,,
01-12-24,"""Mixed performance in international markets""",0,0,16761,,
02-12-24,"""Positive feedback from major industry analysts""",0.5574,0.14488636363636365,16823,,
03-12-24,"""Unexpected expenses hurt quarterly profits""",-0.128,0.1,16822,,
04-12-24,"""Continued strength in subscription growth""",0.7003,0,16885,,
05-12-24,"""Security update mitigates potential threats""",-0.1027,0,16878,,
08-12-24,"""New advertising campaign receives industry acclaim""",0,0.13636363636363635,16894,,
x,,,,x,,
