Simulated Returns,Simulated Index Values
-0.0573,5558.93
-0.0499,5600.18
0.0078,5932.65
0.0052,5917.43
0.067,6294.38
0.0233,6025.04
0.0462,6164.92
0.0081,5934.36
-0.005,5857.05
-0.0034,5866.31
-0.0314,5704.5
-0.0772,5449.21
-0.091,5374.5
0.0541,6213.65
-0.004,5862.83
0.0052,5917.2
0.0339,6089.71
-0.0023,5872.96
0.0088,5938.78
0.0134,5965.83
-0.0347,5685.54
0.0068,5926.72
-0.0099,5828.74
0.0012,5893.45
-0.0705,5485.9
0.0318,6076.66
0.0113,5953.59
0.057,6231.72
-0.0392,5660.08
-0.0318,5702.04
-0.0724,5475.18
0.0536,6210.38
-0.0308,5707.92
0.0003,5888.09
-0.0042,5862.0
-0.0696,5490.62
-0.067,5505.11
-0.0402,5654.48
0.0467,6168.24
-0.0589,5549.7
-0.0089,5834.17
-0.0356,5680.54
-0.02,5770.19
-0.0504,5596.97
0.0287,6058.13
0.0211,6012.38
0.0806,6380.78
-0.0062,5850.04
-0.0208,5765.64
-0.0599,5544.46
0.0132,5965.05
-0.045,5627.28
-0.0415,5647.3
0.0199,6005.06
0.0434,6147.49
0.015,5975.51
-0.0574,5558.05
-0.0198,5771.01
-0.0331,5694.87
0.0065,5925.08
0.0034,5906.49
0.027,6047.55
-0.0196,5772.06
-0.1177,5232.98
-0.0705,5485.71
-0.0435,5635.9
-0.0112,5821.03
-0.0332,5694.55
-0.0038,5863.93
0.0269,6047.08
-0.0148,5800.1
-0.0487,5606.47
-0.0325,5698.55
0.0639,6274.95
-0.0111,5821.52
-0.0772,5448.97
-0.0063,5849.85
0.0086,5937.22
-0.0287,5719.99
-0.0377,5668.72
0.0064,5924.51
-0.0567,5561.87
-0.0186,5778.34
0.0085,5936.81
-0.0556,5568.09
-0.0099,5828.35
-0.0078,5841.03
0.007,5928.09
0.0408,6131.49
-0.0487,5606.84
-0.0183,5779.98
-0.0069,5845.85
0.0114,5953.95
-0.0262,5734.06
0.0219,6016.65
-0.0014,5878.11
-0.0754,5458.87
-0.0464,5619.88
0.0214,6013.92
-0.021,5764.45
0.0184,5995.69
-0.0366,5674.74
-0.0627,5528.65
0.0451,6157.9
0.0258,6040.32
0.042,6138.9
-0.0259,5736.28
0.0505,6191.45
-0.0651,5515.75
-0.0762,5454.91
-0.0276,5726.16
0.0403,6128.73
-0.0172,5785.93
-0.0373,5670.89
-0.0487,5606.7
-0.0038,5864.39
-0.0174,5785.26
0.0091,5940.25
0.0254,6038.13
-0.0044,5860.78
-0.0208,5765.14
0.0488,6181.22
0.0378,6113.57
0.0045,5912.93
-0.0011,5880.18
0.0148,5974.56
0.0176,5990.91
0.0224,6019.69
-0.0935,5360.88
-0.0134,5808.07
-0.0659,5511.34
0.0017,5896.43
-0.0256,5738.01
0.0431,6145.95
-0.051,5594.07
-0.0016,5877.41
-0.0425,5641.59
0.047,6170.12
0.0453,6159.64
-0.0284,5721.68
-0.029,5718.25
-0.0477,5612.4
-0.004,5862.81
-0.0126,5813.07
-0.0492,5604.05
0.0367,6106.63
0.0016,5896.11
0.0512,6195.81
-0.0246,5743.24
-0.0206,5766.73
0.004,5910.15
-0.0553,5569.83
0.0296,6063.28
0.0069,5927.21
-0.0312,5705.6
0.0581,6238.52
0.0827,6394.25
-0.047,5616.53
-0.036,5678.14
0.0146,5973.11
-0.0056,5853.65
0.0085,5936.91
-0.0229,5753.29
0.0643,6277.76
-0.0415,5647.23
-0.069,5494.2
0.0202,6006.76
0.0014,5894.84
-0.0246,5743.72
-0.0257,5737.23
0.0529,6206.25
-0.0265,5732.35
0.0375,6111.36
0.0163,5983.5
0.0826,6393.28
-0.045,5627.36
0.0488,6180.81
0.0137,5967.7
-0.0321,5700.6
0.0179,5992.59
0.0321,6078.59
0.0319,6077.39
0.0831,6396.59
-0.0443,5631.39
0.0105,5948.84
0.0322,6078.93
0.0024,5900.88
-0.0642,5520.3
-0.0315,5704.25
0.0196,6003.07
-0.0086,5836.16
-0.0255,5738.15
-0.0131,5809.97
0.0114,5954.24
-0.0111,5821.76
0.0017,5896.69
-0.0206,5766.44
0.0554,6222.17
-0.0006,5883.01
0.0187,5997.6
-0.0229,5753.24
-0.0294,5716.05
-0.0005,5883.44
0.0558,6224.47
-0.0081,5838.94
0.0018,5897.11
-0.0294,5716.29
-0.0323,5699.56
-0.0121,5815.49
0.0049,5915.38
-0.0414,5648.09
0.0361,6102.69
0.0024,5900.63
0.0188,5998.02
-0.0204,5767.52
0.0066,5925.3
0.0008,5891.06
0.0037,5908.4
-0.0891,5384.62
-0.0254,5739.11
-0.0782,5443.87
-0.0296,5714.78
-0.0426,5641.12
-0.0309,5707.38
-0.0189,5776.2
-0.0323,5699.26
0.0225,6020.31
0.0038,5908.89
-0.0725,5474.96
0.0543,6214.73
0.0324,6080.66
0.0221,6018.08
-0.0139,5805.52
0.0199,6004.76
0.0283,6055.51
-0.0131,5809.79
-0.0992,5330.49
0.0119,5956.96
-0.043,5638.94
-0.02,5769.9
-0.0237,5748.59
0.0259,6040.84
0.0274,6049.79
-0.0527,5584.59
-0.0399,5656.36
0.0081,5934.2
-0.0787,5441.24
-0.0276,5726.03
-0.0047,5858.84
-0.0492,5603.92
-0.0175,5784.33
0.0158,5980.55
0.0003,5888.5
0.0321,6078.35
0.0148,5974.57
-0.0638,5522.88
0.0247,6033.77
-0.0043,5861.07
-0.0341,5689.04
0.0143,5971.18
0.0273,6049.75
-0.06,5543.64
0.0331,6084.5
0.0098,5944.43
0.0051,5916.75
-0.0666,5507.09
0.0404,6129.0
0.0023,5900.2
-0.0667,5506.95
-0.0367,5674.66
-0.0546,5573.74
0.0591,6245.17
-0.0119,5817.2
0.0274,6050.03
-0.1121,5262.3
-0.0702,5487.76
-0.0351,5683.53
-0.0076,5842.05
-0.0002,5885.63
-0.091,5374.52
-0.0343,5687.99
0.0117,5955.59
-0.0386,5663.79
0.0072,5928.85
-0.0388,5662.75
0.0634,6271.62
-0.074,5466.48
0.0214,6014.14
-0.0738,5467.88
0.0182,5994.79
-0.0068,5846.72
0.0195,6002.34
-0.0116,5818.76
-0.0485,5607.69
-0.0024,5872.55
0.0704,6315.72
-0.0303,5711.08
0.0319,6077.52
-0.0107,5823.94
0.0774,6359.96
-0.0347,5685.75
0.0157,5979.49
-0.0061,5850.74
-0.0113,5820.27
0.0046,5913.84
-0.0405,5652.95
-0.0057,5853.23
0.0325,6081.28
0.0021,5898.95
0.0646,6279.23
-0.0303,5711.04
-0.0076,5841.7
0.028,6053.64
-0.0129,5811.27
-0.0269,5730.28
-0.0517,5589.75
0.031,6071.71
0.003,5904.11
0.0438,6150.29
-0.0571,5559.95
-0.0495,5602.33
-0.0025,5872.13
-0.0296,5714.93
0.0262,6043.0
0.0233,6025.4
0.0085,5936.86
0.0343,6091.81
-0.0269,5730.38
0.0477,6174.3
0.0321,6078.34
-0.0215,5761.53
0.0534,6209.42
0.0056,5919.84
-0.0213,5762.34
0.0619,6262.57
0.0074,5930.36
-0.0303,5710.75
-0.0781,5444.21
0.0205,6008.4
-0.0561,5565.36
0.0357,6100.52
-0.0334,5693.41
-0.0061,5850.83
0.0235,6026.37
0.0289,6059.13
0.0335,6087.05
-0.0115,5819.03
0.0097,5944.08
0.0358,6101.1
-0.0856,5403.42
-0.0268,5731.03
0.051,6194.45
0.0312,6073.22
-0.0005,5883.72
-0.0531,5581.87
-0.0059,5852.03
0.0628,6268.04
-0.0452,5626.55
-0.0213,5762.48
-0.04,5655.54
0.0048,5914.86
0.0012,5893.75
-0.037,5672.65
0.0131,5964.01
0.0617,6261.36
0.0081,5934.66
0.0069,5927.12
0.0273,6049.57
0.0091,5940.4
0.0199,6004.86
0.0418,6137.86
-0.0148,5800.01
-0.0735,5469.54
-0.0171,5786.63
0.0473,6171.91
-0.0503,5597.93
0.0447,6155.79
0.0269,6046.84
-0.0421,5644.03
-0.0418,5645.36
-0.0353,5682.44
0.0127,5961.99
-0.0179,5781.92
-0.063,5526.93
0.0232,6024.84
-0.0107,5823.65
-0.0437,5634.92
-0.0395,5658.54
0.0022,5899.35
-0.0779,5445.58
0.0356,6099.88
-0.0067,5847.27
-0.0137,5806.65
-0.0182,5780.31
0.0123,5959.47
-0.0283,5722.24
-0.01,5827.72
0.0111,5952.44
0.027,6047.94
0.0293,6061.29
0.0504,6191.03
0.0095,5942.51
-0.0133,5808.68
0.0317,6076.21
-0.0078,5840.81
-0.023,5752.79
0.0158,5980.21
-0.0373,5671.21
0.0626,6267.11
0.0481,6176.79
-0.0607,5540.12
-0.0223,5756.49
-0.0435,5635.89
0.0219,6016.59
0.024,6029.78
0.0251,6036.43
-0.0442,5631.77
0.0038,5908.68
0.0596,6248.23
-0.0081,5838.77
0.0376,6112.28
-0.0361,5677.97
0.0446,6155.29
0.045,6157.66
-0.0582,5553.74
0.021,6011.55
0.0498,6187.34
0.0409,6132.04
-0.0296,5715.01
-0.019,5775.79
0.0774,6360.21
0.0527,6204.93
-0.0265,5732.5
-0.0053,5855.44
-0.0262,5734.15
0.0537,6211.49
0.0112,5953.02
-0.0255,5738.07
-0.0225,5755.51
0.0417,6137.03
-0.0361,5677.57
0.0137,5967.74
0.0338,6089.19
-0.003,5869.1
0.0359,6101.92
0.058,6238.23
-0.0907,5376.0
-0.034,5689.65
0.0842,6403.51
0.0233,6025.52
-0.0378,5668.3
-0.0233,5751.04
0.0251,6036.24
-0.0335,5692.71
-0.034,5689.78
0.0985,6495.74
-0.0004,5884.3
0.0165,5984.53
0.0406,6130.59
-0.0227,5754.5
0.0534,6209.68
0.0516,6198.4
0.0204,6007.64
-0.0681,5498.75
-0.0098,5829.3
0.0201,6006.1
0.0098,5944.69
0.0805,6379.76
0.0553,6221.47
-0.0608,5539.19
-0.0177,5783.11
-0.0634,5525.16
0.0026,5902.05
-0.0676,5501.73
0.0151,5976.17
0.0928,6458.9
-0.0808,5429.56
-0.005,5857.28
0.0055,5919.27
-0.0025,5871.73
-0.0249,5741.82
0.0093,5941.49
-0.0042,5862.16
-0.0225,5755.8
-0.0272,5728.65
-0.0342,5688.41
0.0526,6204.63
-0.0634,5524.78
0.0335,6087.11
-0.0388,5662.67
-0.052,5588.41
0.0302,6067.08
-0.0308,5708.24
0.0106,5949.12
-0.0415,5647.24
0.1159,6610.06
0.0577,6236.24
0.0425,6142.32
0.0319,6077.1
0.0116,5955.06
-0.0318,5702.37
-0.0365,5675.61
0.007,5927.73
0.0312,6073.04
-0.027,5729.52
0.0554,6222.02
-0.0159,5793.74
0.0368,6107.2
0.004,5909.97
0.0455,6160.5
0.0327,6082.5
-0.0598,5544.9
0.0714,6322.5
0.0178,5992.14
-0.0723,5476.11
-0.0066,5847.66
-0.0081,5838.85
0.0415,6136.16
-0.0501,5598.82
0.0127,5961.71
-0.0299,5713.13
-0.036,5678.4
0.079,6370.46
-0.0341,5689.16
0.0019,5897.77
0.0103,5947.69
-0.0475,5613.38
-0.0108,5823.06
-0.0072,5844.28
-0.0575,5557.45
-0.0349,5684.83
-0.0593,5547.42
0.001,5892.19
0.0292,6061.21
-0.0283,5722.1
0.0214,6014.17
0.0271,6048.04
0.1243,6665.5
0.0567,6229.68
-0.0387,5663.35
0.0542,6214.22
0.0814,6385.58
0.069,6307.07
-0.0513,5591.93
-0.0131,5809.72
-0.014,5804.77
-0.0155,5796.11
0.055,6219.29
0.0073,5929.55
0.0045,5913.29
-0.0059,5852.13
-0.0151,5798.05
-0.0075,5842.76
-0.0032,5867.56
-0.0882,5389.55
-0.025,5741.07
-0.0346,5686.52
-0.0188,5776.64
0.0278,6052.78
-0.0007,5882.44
-0.0118,5817.55
0.027,6047.86
-0.0317,5702.74
0.0057,5920.18
0.0549,6218.83
0.0113,5953.16
-0.0316,5703.31
0.0824,6392.37
0.0253,6037.2
0.0228,6022.02
-0.0292,5716.88
-0.0723,5476.09
0.0252,6036.8
0.0458,6162.4
-0.0223,5757.01
-0.0443,5631.28
-0.0303,5710.82
0.0319,6077.53
-0.0501,5599.11
-0.0002,5885.38
-0.0091,5833.22
-0.0008,5881.79
0.0894,6437.07
-0.0089,5834.57
-0.0525,5585.72
0.0747,6342.99
0.0019,5897.7
-0.041,5650.2
0.0559,6225.11
-0.0701,5488.28
0.0196,6003.19
0.0324,6080.56
-0.0544,5574.97
-0.0561,5565.51
-0.0882,5389.66
0.0351,6097.06
0.0215,6014.74
-0.0072,5844.59
-0.0042,5861.91
-0.0183,5779.92
-0.0302,5711.53
0.0244,6032.02
0.0663,6290.35
-0.0284,5721.52
-0.0489,5605.47
0.025,6035.28
-0.0643,5519.92
0.0083,5935.75
0.0361,6102.94
-0.0145,5801.73
-0.0455,5624.44
-0.064,5521.83
-0.011,5822.42
-0.0434,5636.58
0.0342,6091.37
0.0635,6272.49
-0.0052,5856.09
-0.0082,5838.45
-0.0476,5612.89
-0.0014,5878.06
-0.0097,5829.63
0.0665,6291.2
-0.0807,5430.18
-0.0265,5732.87
0.0206,6008.88
-0.074,5466.71
0.0419,6138.69
-0.0223,5756.52
0.0237,6028.0
-0.0553,5570.1
-0.0106,5824.37
-0.076,5455.6
0.0277,6051.86
0.0346,6093.76
-0.0256,5737.87
-0.0925,5366.46
-0.0675,5502.14
-0.0619,5533.11
-0.0351,5683.69
-0.0029,5869.71
-0.0411,5649.58
0.0198,6004.41
-0.0708,5483.98
-0.0485,5607.72
0.0302,6067.32
-0.1053,5297.99
0.0401,6127.64
-0.0426,5640.8
0.0905,6444.07
-0.048,5610.45
-0.1006,5323.39
0.0077,5932.24
0.0233,6025.51
-0.0083,5838.13
-0.0253,5739.48
-0.0254,5738.77
-0.0011,5880.12
-0.0006,5882.78
0.0197,6003.51
0.0327,6082.08
-0.0134,5807.91
-0.0364,5676.36
-0.0734,5469.77
-0.0209,5764.54
0.0364,6104.75
-0.0516,5590.64
0.0281,6054.26
0.04,6126.81
0.0484,6178.64
-0.0147,5800.76
0.0785,6367.04
-0.0114,5819.77
-0.0489,5605.62
0.0027,5902.65
-0.0011,5880.32
-0.0869,5396.62
-0.0202,5768.79
-0.0274,5727.26
0.0425,6142.35
-0.0339,5690.16
-0.0693,5492.67
0.0276,6051.32
0.0037,5908.11
0.0165,5984.69
-0.0133,5808.7
-0.0464,5619.79
0.01,5945.76
0.0464,6166.14
-0.0032,5867.54
-0.0275,5726.98
0.0119,5956.95
-0.0371,5672.18
-0.0555,5568.68
-0.0066,5847.57
0.0045,5913.23
0.0187,5997.47
0.0659,6287.38
0.0786,6367.74
0.026,6041.91
-0.033,5695.71
-0.0632,5526.04
-0.0207,5765.97
-0.1035,5307.63
-0.0113,5820.13
0.0393,6122.65
-0.0672,5504.22
0.0913,6449.11
0.0475,6172.96
-0.0321,5700.34
-0.009,5833.77
0.0265,6044.82
-0.0292,5717.17
-0.017,5787.05
-0.0116,5818.39
-0.0273,5727.79
-0.0426,5640.85
0.0223,6019.3
-0.0368,5673.99
-0.0585,5551.89
-0.0118,5817.42
0.0047,5914.28
-0.0043,5861.13
-0.0023,5873.0
-0.0287,5719.99
0.0409,6132.18
-0.055,5571.8
-0.0142,5803.81
-0.0017,5876.63
0.0166,5984.82
0.0298,6064.58
-0.0186,5778.2
-0.0028,5870.24
0.0482,6177.45
0.0245,6032.82
0.0087,5938.17
0.022,6017.67
-0.0917,5370.93
-0.1333,5152.18
-0.084,5412.02
-0.028,5724.27
-0.0059,5851.78
0.0532,6208.3
0.0009,5891.89
0.0209,6010.7
-0.0874,5394.05
-0.0471,5615.79
-0.0071,5844.71
-0.0629,5527.86
-0.0263,5733.93
-0.07,5488.61
0.0376,6111.89
-0.0297,5714.46
-0.0537,5578.63
0.0147,5973.96
0.0105,5948.74
0.0292,6061.23
-0.0235,5749.95
-0.0058,5852.37
-0.0208,5765.55
-0.0371,5671.91
-0.0663,5509.12
-0.032,5701.43
0.051,6194.76
-0.0367,5674.62
-0.0429,5639.62
-0.0158,5794.26
0.0229,6022.61
-0.0845,5409.74
0.0773,6359.72
-0.0192,5774.45
0.0115,5954.43
0.0125,5960.5
0.0449,6156.74
-0.0185,5778.44
0.0042,5911.49
0.0055,5918.86
0.0249,6035.09
0.0227,6021.84
-0.0518,5589.51
-0.0085,5836.52
-0.0155,5796.0
-0.0389,5662.09
-0.0144,5802.26
0.0331,6084.6
-0.0363,5676.97
0.0389,6119.94
-0.0225,5755.52
-0.0625,5529.85
0.008,5933.62
-0.0143,5803.19
0.0868,6420.08
0.0482,6177.2
-0.0414,5647.82
-0.0002,5885.11
0.0163,5983.43
0.0052,5917.25
0.0484,6178.26
-0.0253,5739.2
-0.0287,5719.95
-0.0327,5697.27
0.0027,5902.7
0.0102,5946.65
-0.0076,5841.82
0.0723,6327.7
0.0435,6148.47
-0.0517,5590.22
0.0763,6353.59
-0.0012,5879.26
0.0282,6055.17
0.0348,6094.84
-0.0395,5658.36
0.0314,6074.04
-0.0125,5813.25
0.0086,5937.28
0.0393,6122.68
-0.0483,5609.2
-0.0803,5432.38
0.0211,6012.02
-0.0133,5809.06
0.0114,5954.17
0.0373,6110.1
0.0296,6063.21
0.0037,5908.4
-0.0396,5657.88
0.0102,5946.89
-0.0274,5727.44
0.0821,6390.23
0.0134,5965.7
-0.0934,5361.86
0.0103,5947.37
-0.002,5874.9
0.0097,5944.17
-0.0126,5812.61
-0.0096,5830.03
0.0186,5996.81
-0.0535,5580.02
-0.023,5752.71
-0.0065,5848.14
-0.0505,5596.47
0.0436,6148.85
-0.0582,5553.57
0.0191,5999.82
0.0281,6054.4
-0.037,5672.48
-0.0747,5462.75
-0.0925,5366.22
0.0141,5970.22
-0.0031,5868.46
0.0153,5977.24
0.0278,6052.79
-0.0113,5820.15
-0.0277,5725.99
0.0155,5978.52
0.0307,6070.37
-0.0291,5717.83
-0.0246,5743.73
0.0035,5907.37
-0.0124,5814.0
-0.0233,5750.88
0.0053,5918.12
-0.011,5821.9
0.0006,5890.17
-0.0448,5628.42
-0.0442,5631.79
-0.0116,5818.88
-0.0777,5446.62
-0.0827,5419.53
0.0766,6354.97
-0.058,5554.92
0.0226,6020.91
-0.0328,5696.85
0.0682,6302.32
-0.0117,5817.97
-0.0509,5594.43
-0.0271,5729.39
0.0034,5906.39
0.0369,6107.91
-0.0572,5559.04
0.0203,6007.41
-0.0205,5767.15
-0.0349,5684.54
0.0944,6469.13
-0.0204,5767.47
-0.0412,5649.21
0.0317,6076.38
0.0767,6355.83
-0.0174,5785.05
0.0437,6149.39
0.0199,6004.66
0.0227,6021.83
-0.0018,5875.91
-0.0322,5700.27
0.0081,5934.53
-0.0247,5742.95
-0.075,5461.39
-0.0145,5801.56
-0.0481,5610.08
-0.0113,5820.39
-0.0139,5805.52
-0.0033,5866.97
0.0358,6101.23
0.0496,6186.06
-0.0232,5751.83
0.0281,6054.28
0.055,6219.21
-0.031,5706.77
0.0134,5965.77
-0.0041,5862.67
-0.0127,5812.09
-0.0479,5611.08
0.0158,5980.36
0.0108,5950.3
-0.0671,5504.79
0.0752,6346.0
0.0145,5972.54
-0.0322,5700.0
-0.0097,5829.48
0.0004,5889.09
0.0432,6146.27
-0.0071,5845.07
-0.0545,5574.06
-0.0449,5628.05
0.0067,5925.89
-0.0064,5849.11
-0.0721,5477.03
-0.0205,5767.32
-0.0445,5630.51
-0.0165,5789.95
-0.0635,5524.57
0.0057,5920.02
0.0187,5997.67
0.0944,6469.57
-0.0098,5829.18
0.0636,6273.2
-0.0273,5728.01
-0.0116,5818.7
-0.0442,5631.83
-0.0411,5649.63
0.0506,6192.01
-0.0045,5860.34
0.0357,6100.75
0.0551,6219.87
-0.0049,5857.55
0.0255,6038.41
-0.0251,5740.89
-0.0749,5462.03
-0.0245,5743.96
0.0171,5988.23
0.0108,5950.73
0.1313,6712.54
-0.0753,5459.56
-0.0475,5613.75
0.0479,6175.55
0.0371,6109.22
0.006,5922.1
0.0409,6132.35
-0.0196,5772.21
-0.0306,5709.41
-0.0258,5736.44
0.0168,5986.38
-0.0295,5715.15
-0.0671,5504.38
0.0515,6197.93
-0.0738,5467.69
-0.0109,5822.94
0.0175,5990.53
-0.0256,5737.77
-0.0475,5613.27
-0.0754,5459.04
0.0768,6356.5
0.0009,5891.87
-0.0357,5680.2
-0.0227,5754.46
0.0329,6083.32
-0.009,5833.53
0.0049,5915.29
-0.06,5543.86
-0.0225,5755.32
0.0164,5984.04
-0.0426,5641.15
0.0345,6092.94
0.0302,6066.98
-0.0166,5789.64
0.0366,6105.9
0.0316,6075.45
-0.0008,5881.6
0.0151,5976.16
-0.0147,5800.67
0.0143,5971.51
-0.0249,5741.53
0.0046,5913.52
-0.0327,5696.91
0.0436,6149.13
0.0372,6109.56
-0.0158,5794.07
-0.0248,5742.09
-0.0074,5843.37
0.0479,6175.09
-0.0324,5698.88
-0.0132,5809.07
-0.0088,5834.98
0.0533,6208.76
0.025,6035.66
-0.0365,5675.66
-0.01,5827.94
-0.044,5633.2
-0.0651,5515.38
0.0174,5989.68
0.0526,6204.37
0.0121,5958.28
-0.0578,5555.95
-0.0487,5606.79
-0.091,5374.66
0.001,5892.33
-0.013,5810.35
0.0146,5973.29
-0.0221,5758.07
-0.0016,5876.85
-0.0422,5643.48
0.0202,6006.71
0.0406,6130.64
0.0334,6086.34
0.0512,6195.86
0.0185,5996.17
-0.0074,5842.99
0.0001,5887.16
-0.0318,5702.05
-0.0878,5391.51
0.0366,6105.92
-0.0563,5564.19
0.0054,5918.53
0.0076,5931.34
0.0271,6048.0
0.0593,6246.07
-0.0496,5601.83
0.0383,6116.17
-0.011,5822.03
0.0797,6374.75
0.0678,6299.41
-0.0245,5743.89
-0.0451,5627.06
0.0151,5976.37
-0.0111,5821.72
0.0407,6131.08
0.0485,6179.23
-0.0062,5850.26
0.0261,6042.31
-0.0316,5703.67
0.0089,5938.92
0.0323,6079.73
-0.0471,5615.97
-0.0284,5721.71
0.0888,6432.91
-0.0389,5661.79
0.0071,5928.26
0.0073,5929.62
-0.0293,5716.78
-0.0314,5704.76
0.0021,5899.2
0.0342,6091.6
0.0168,5986.04
-0.0568,5561.77
-0.0182,5780.58
0.0507,6192.82
-0.0813,5427.1
0.0027,5902.28
-0.0489,5605.83
0.0298,6064.42
0.1084,6560.67
-0.0412,5648.95
0.0219,6016.89
-0.0039,5863.83
-0.0139,5805.11
0.0272,6048.86
-0.064,5521.55
-0.0516,5590.78
0.0142,5970.53
0.0034,5906.74
-0.0243,5745.38
-0.0492,5603.78
0.0332,6085.47
0.0275,6050.39
-0.0058,5852.35
0.0234,6026.12
-0.0725,5474.65
0.0594,6247.05
0.0276,6051.2
-0.0088,5834.75
0.0134,5966.2
0.0206,6008.82
0.0125,5960.77
-0.034,5689.66
0.0655,6285.18
-0.0251,5740.69
-0.0076,5842.14
-0.0426,5641.21
-0.0548,5572.62
-0.0819,5423.59
0.0148,5974.15
-0.0058,5852.37
0.0197,6003.64
0.0154,5978.11
-0.0269,5730.31
-0.0383,5665.08
-0.0087,5835.76
0.0179,5992.92
0.0222,6018.64
0.0516,6198.07
-0.059,5549.28
0.0453,6159.65
-0.0245,5744.17
-0.0031,5868.36
0.0257,6039.56
-0.0265,5732.45
0.0352,6097.49
0.0432,6146.37
0.0401,6127.44
0.0029,5903.77
-0.0535,5580.09
-0.0119,5817.17
-0.0241,5746.36
-0.0629,5527.64
0.0354,6098.74
-0.041,5649.96
0.0288,6058.78
0.0855,6412.22
0.0438,6149.93
-0.0478,5611.96
