Date,Store ID,Region,Inventory Level,Units Sold,Units Ordered,Demand Forecast,Price,Discount,Weather Condition,Holiday/Promotion,Competitor Pricing,Seasonality,PriceCluster
20-01-23,K003,South,345,245,190,173.85,124.77,15,Rainy,0,128.81,Autumn,1
20-01-23,K004,East,388,288,206,549.62,164.48,15,Snowy,1,165.19,Summer,0
20-01-23,K005,West,384,284,145,155.87,164.45,15,Sunny,0,163.51,Spring,0
21-01-23,K001,South,349,249,295,551.1,113.1,15,Snowy,1,115.14,Summer,1
21-01-23,K002,South,326,226,199,114.05,165.43,15,Rainy,0,164.76,Spring,0
21-01-23,K003,North,274,174,229,416.32,167.09,15,Sunny,1,172.02,Winter,0
21-01-23,K004,North,392,292,204,178.69,129.64,15,Rainy,0,134.2,Winter,1
21-01-23,K005,East,398,298,178,134.74,144.04,15,Sunny,0,142.55,Winter,1
22-01-23,K001,North,318,218,297,281.42,187.64,0,Snowy,1,191.45,Spring,2
22-01-23,K002,North,314,214,159,161.07,147.2,5,Snowy,1,143.8,Spring,1
22-01-23,K003,North,353,253,177,208.45,164.0,15,Cloudy,0,165.52,Spring,0
22-01-23,K004,North,370,270,208,274.61,167.26,5,Cloudy,1,167.67,Autumn,2
22-01-23,K005,North,279,179,167,194.63,163.57,15,Sunny,1,164.3,Autumn,0
23-01-23,K001,West,369,269,205,169.99,122.65,15,Cloudy,0,120.19,Spring,1
23-01-23,K002,South,381,281,158,157.68,149.67,20,Sunny,0,155.44,Spring,0
23-01-23,K003,South,332,232,126,444.02,194.94,5,Sunny,1,199.58,Spring,2
23-01-23,K004,East,393,293,215,111.82,120.15,20,Snowy,0,128.01,Summer,1
23-01-23,K005,East,370,270,249,354.57,175.59,20,Snowy,0,165.9,Summer,0
24-01-23,K001,South,296,196,232,117.87,176.71,15,Snowy,1,175.85,Summer,0
24-01-23,K002,West,271,171,164,461.4,132.96,5,Snowy,0,133.77,Summer,1
24-01-23,K003,West,345,245,220,137.13,155.63,5,Sunny,1,157.66,Autumn,2
24-01-23,K004,East,317,217,226,302.17,185.2,15,Cloudy,0,186.92,Winter,0
24-01-23,K005,South,385,285,216,189.35,168.26,5,Snowy,1,168.14,Spring,2
25-01-23,K001,West,335,235,163,248.26,168.76,15,Snowy,0,173.29,Spring,0
25-01-23,K002,East,287,187,207,264.3,127.16,20,Snowy,1,120.8,Autumn,1
25-01-23,K003,West,354,254,151,247.0,162.69,5,Rainy,0,158.72,Autumn,2
25-01-23,K004,North,360,260,139,215.03,188.85,20,Cloudy,1,185.86,Spring,0
25-01-23,K005,West,313,213,215,199.08,147.02,15,Snowy,0,155.67,Autumn,1
26-01-23,K001,South,386,286,201,155.62,159.48,5,Sunny,1,155.45,Winter,2
26-01-23,K002,North,319,219,245,119.59,165.54,5,Snowy,0,165.86,Autumn,2
26-01-23,K003,West,384,284,290,353.41,145.86,15,Snowy,0,136.5,Summer,1
26-01-23,K004,West,277,177,205,115.66,152.83,5,Sunny,1,155.02,Spring,2
26-01-23,K005,East,393,293,205,159.29,132.56,5,Rainy,0,135.69,Autumn,1
27-01-23,K001,South,271,171,216,280.45,193.34,0,Cloudy,0,194.33,Winter,2
27-01-23,K002,North,396,296,274,328.71,194.27,0,Sunny,0,192.87,Autumn,2
27-01-23,K003,West,291,191,271,373.1,182.96,0,Rainy,0,178.94,Autumn,2
27-01-23,K004,North,345,245,276,473.95,134.98,20,Snowy,0,137.88,Winter,1
27-01-23,K005,North,320,220,203,274.27,168.15,20,Sunny,1,164.22,Spring,0
28-01-23,K001,East,381,281,182,215.96,153.2,20,Cloudy,1,149.95,Autumn,0
28-01-23,K002,South,392,292,173,124.41,120.09,20,Rainy,1,135.07,Summer,1
28-01-23,K003,South,357,257,207,390.88,173.65,15,Sunny,0,174.98,Autumn,0
28-01-23,K004,North,359,259,288,132.51,166.32,15,Rainy,0,165.19,Summer,0
28-01-23,K005,East,329,229,299,266.82,165.37,15,Snowy,1,163.21,Spring,0
29-01-23,K001,South,333,233,224,148.79,188.06,15,Snowy,1,192.84,Autumn,0
29-01-23,K002,North,271,171,211,338.93,174.33,5,Snowy,1,175.7,Winter,2
29-01-23,K003,North,369,269,235,363.9,116.0,15,Sunny,1,118.27,Autumn,1
29-01-23,K004,North,335,235,204,169.87,127.81,20,Cloudy,0,132.14,Spring,1
29-01-23,K005,North,393,293,206,153.65,173.71,15,Cloudy,0,172.97,Autumn,0
30-01-23,K001,West,323,223,202,302.24,175.78,0,Sunny,1,168.88,Summer,2
30-01-23,K002,East,313,213,123,269.76,163.98,5,Sunny,1,165.46,Autumn,2
30-01-23,K003,West,350,250,220,155.54,146.79,15,Rainy,1,148.74,Spring,1
30-01-23,K004,East,290,190,205,155.11,164.53,15,Cloudy,1,162.79,Summer,0
30-01-23,K005,West,365,265,194,398.53,151.8,5,Snowy,1,155.45,Spring,2
01-02-23,K001,East,331,231,184,397.26,134.49,0,Sunny,0,133.85,Summer,1
01-02-23,K002,East,376,276,143,193.9,166.34,15,Cloudy,1,171.16,Winter,0
01-02-23,K003,East,387,287,222,526.94,116.94,15,Sunny,1,113.74,Spring,1
01-02-23,K004,South,273,173,209,271.64,142.61,5,Rainy,0,146.76,Spring,1
01-02-23,K005,West,386,286,280,236.55,120.47,20,Cloudy,0,117.42,Spring,1
02-02-23,K001,South,392,292,249,153.13,152.49,5,Cloudy,0,148.2,Autumn,2
02-02-23,K002,North,382,282,282,203.94,123.87,20,Rainy,1,122.45,Spring,1
02-02-23,K003,South,379,279,293,180.75,173.28,15,Cloudy,0,175.54,Summer,0
02-02-23,K004,South,299,199,202,422.51,112.49,20,Cloudy,0,115.73,Summer,1
02-02-23,K005,North,274,174,248,155.27,115.5,20,Snowy,1,119.5,Winter,1
03-02-23,K001,South,367,267,286,184.02,127.71,20,Rainy,1,128.96,Winter,1
03-02-23,K002,East,305,205,281,122.9,175.8,15,Rainy,0,175.6,Spring,0
03-02-23,K003,East,391,291,187,283.69,195.64,15,Cloudy,1,199.39,Summer,0
03-02-23,K004,West,335,235,227,115.11,197.63,20,Cloudy,0,202.03,Winter,0
03-02-23,K005,East,303,203,202,297.29,173.01,15,Snowy,0,168.02,Spring,0
04-02-23,K001,South,381,281,120,137.72,116.84,15,Cloudy,0,112.53,Autumn,1
04-02-23,K002,West,369,269,164,219.64,118.54,0,Rainy,1,115.1,Summer,1
04-02-23,K003,South,355,255,283,169.89,196.69,20,Sunny,1,198.76,Autumn,0
04-02-23,K004,North,396,296,208,443.36,181.45,15,Rainy,0,177.35,Spring,0
04-02-23,K005,North,361,261,202,272.33,116.35,0,Snowy,1,117.8,Autumn,1
05-02-23,K001,South,399,299,282,462.43,151.44,15,Snowy,0,151.54,Summer,1
05-02-23,K002,East,315,215,228,208.95,159.5,0,Cloudy,0,158.89,Spring,2
05-02-23,K003,North,278,178,205,219.5,188.16,5,Rainy,0,187.99,Winter,2
05-02-23,K004,East,357,257,286,157.2,145.6,15,Sunny,1,145.11,Spring,1
05-02-23,K005,North,295,195,194,112.47,146.96,0,Cloudy,0,142.24,Summer,2
06-02-23,K001,North,370,270,192,181.06,168.85,5,Cloudy,1,171.82,Spring,2
06-02-23,K002,East,364,264,220,175.65,187.64,0,Cloudy,0,192.39,Summer,2
06-02-23,K003,East,385,285,168,426.79,175.75,5,Snowy,1,175.66,Autumn,2
06-02-23,K004,North,370,270,267,372.51,141.13,15,Snowy,0,139.52,Winter,1
06-02-23,K005,West,331,231,198,437.65,168.61,15,Snowy,1,168.89,Autumn,0
07-02-23,K001,South,298,198,205,173.41,111.34,5,Rainy,0,109.63,Spring,1
07-02-23,K002,East,309,209,120,487.13,127.27,15,Cloudy,1,129.87,Summer,1
07-02-23,K003,West,324,224,143,365.48,142.14,20,Rainy,1,146.68,Spring,1
07-02-23,K004,East,350,250,264,163.59,169.81,20,Rainy,1,169.16,Autumn,0
07-02-23,K005,South,315,215,132,114.67,188.84,15,Snowy,1,185.76,Summer,0
08-02-23,K001,West,319,219,148,115.6,167.64,15,Cloudy,0,169.12,Spring,0
08-02-23,K002,East,355,255,287,321.48,118.08,15,Cloudy,1,121.06,Winter,1
08-02-23,K003,North,283,183,221,174.68,185.69,0,Sunny,1,187.98,Autumn,2
08-02-23,K004,West,397,297,246,155.23,161.85,15,Snowy,1,165.12,Spring,0
08-02-23,K005,South,333,233,296,215.07,126.26,20,Rainy,1,124.57,Autumn,1
09-02-23,K001,South,382,282,243,122.37,190.55,0,Rainy,0,190.2,Autumn,2
09-02-23,K002,East,270,170,275,480.19,152.98,15,Rainy,0,156.32,Winter,0
09-02-23,K003,North,391,291,230,163.59,115.35,15,Rainy,0,112.41,Summer,1
09-02-23,K004,East,364,264,202,190.02,121.77,5,Rainy,1,120.95,Winter,1
09-02-23,K005,South,277,177,269,247.46,121.09,15,Sunny,0,123.73,Summer,1
11-02-23,K001,South,383,283,202,329.08,189.58,5,Rainy,0,191.4,Spring,2
11-02-23,K002,West,285,185,180,451.39,130.19,20,Cloudy,1,126.59,Spring,1
11-02-23,K003,East,310,210,213,212.32,192.7,0,Rainy,0,194.1,Summer,2
11-02-23,K004,West,294,194,286,365.08,145.46,15,Cloudy,0,145.2,Summer,1
11-02-23,K005,South,315,215,220,201.71,158.43,20,Rainy,0,157.57,Spring,0
11-02-23,K001,East,312,212,134,298.49,119.93,0,Sunny,0,124.88,Autumn,1
11-02-23,K002,West,308,208,262,158.14,121.02,5,Sunny,0,122.69,Autumn,1
11-02-23,K003,East,360,260,204,111.13,180.57,5,Sunny,1,182.34,Spring,2
11-02-23,K004,North,369,269,207,354.69,120.92,15,Sunny,1,120.35,Autumn,1
11-02-23,K005,South,362,262,248,120.36,147.48,15,Cloudy,0,143.88,Winter,1
11-02-23,K001,North,398,298,132,215.57,151.27,5,Snowy,0,153.8,Winter,2
11-02-23,K002,East,349,249,187,128.28,164.2,0,Cloudy,1,159.97,Summer,2
11-02-23,K003,East,314,214,183,290.37,149.29,15,Snowy,1,151.46,Summer,1
11-02-23,K004,West,388,288,289,339.6,184.17,15,Sunny,0,181.28,Summer,0
11-02-23,K005,West,301,201,201,222.68,192.45,15,Snowy,0,192.69,Autumn,0
12-02-23,K001,South,285,185,154,148.16,164.4,15,Sunny,1,161.19,Autumn,0
12-02-23,K002,North,334,234,285,117.22,184.12,5,Snowy,0,180.38,Summer,2
12-02-23,K003,North,286,186,145,135.55,185.8,0,Rainy,0,190.7,Spring,2
12-02-23,K004,South,323,223,244,286.45,176.97,15,Cloudy,0,178.32,Summer,0
12-02-23,K005,North,388,288,148,205.7,132.75,15,Rainy,1,133.3,Spring,1
13-02-23,K001,North,309,209,261,243.55,185.19,15,Rainy,0,185.28,Spring,0
13-02-23,K002,North,395,295,235,133.96,138.46,5,Rainy,0,135.7,Winter,1
13-02-23,K003,West,287,187,292,144.84,163.4,15,Rainy,0,164.4,Winter,0
13-02-23,K004,North,389,289,168,169.82,145.0,15,Snowy,1,135.95,Summer,1
13-02-23,K005,West,311,211,126,124.36,115.42,15,Rainy,1,109.36,Spring,1
14-02-23,K001,North,357,257,206,356.33,197.41,15,Snowy,1,193.97,Winter,0
14-02-23,K002,West,342,242,152,175.02,139.81,15,Cloudy,0,141.16,Summer,1
14-02-23,K003,North,311,211,133,121.14,137.75,15,Cloudy,0,138.09,Spring,1
14-02-23,K004,South,310,210,137,364.11,188.4,15,Sunny,0,192.8,Summer,0
14-02-23,K005,North,384,284,203,205.12,162.65,15,Rainy,1,164.82,Summer,0
16-02-23,K001,West,338,238,191,472.09,165.22,15,Rainy,1,166.2,Autumn,0
16-02-23,K002,North,378,278,271,421.38,191.59,0,Sunny,0,192.43,Summer,2
16-02-23,K003,West,293,193,296,355.1,149.07,15,Snowy,0,155.78,Spring,0
16-02-23,K004,South,331,231,205,452.86,127.95,15,Rainy,1,127.68,Spring,1
16-02-23,K005,North,385,285,145,174.71,169.91,0,Cloudy,1,173.18,Autumn,2
17-02-23,K001,West,292,192,246,127.62,149.34,5,Rainy,1,151.94,Spring,2
17-02-23,K002,North,365,265,195,118.57,175.54,0,Cloudy,0,173.24,Winter,2
17-02-23,K003,East,353,253,211,184.64,173.94,5,Snowy,0,169.51,Autumn,2
17-02-23,K004,North,398,298,135,206.04,175.96,15,Snowy,0,180.7,Winter,0
17-02-23,K005,East,373,273,132,115.28,146.19,0,Sunny,1,149.61,Autumn,2
18-02-23,K001,South,309,209,133,139.79,120.21,15,Rainy,0,118.45,Winter,1
18-02-23,K002,West,331,231,261,155.03,121.54,0,Cloudy,0,123.28,Spring,1
18-02-23,K003,West,296,196,185,519.26,169.96,20,Sunny,0,175.71,Summer,0
18-02-23,K004,East,301,201,139,141.48,115.84,15,Sunny,1,113.93,Summer,1
18-02-23,K005,West,375,275,215,415.29,122.3,0,Rainy,0,122.18,Summer,1
19-02-23,K001,North,339,239,355,132.44,175.6,0,Snowy,1,171.3,Summer,2
19-02-23,K002,North,286,186,148,218.63,153.04,0,Cloudy,1,156.34,Spring,2
19-02-23,K003,West,316,216,205,348.92,145.77,20,Rainy,1,145.8,Autumn,1
19-02-23,K004,North,342,242,151,456.7,191.83,15,Sunny,0,194.1,Spring,0
19-02-23,K005,North,398,298,265,159.06,183.86,0,Rainy,0,184.84,Winter,2
20-02-23,K001,South,321,221,289,275.44,173.76,15,Rainy,0,175.18,Autumn,0
20-02-23,K002,South,292,192,207,129.89,194.4,5,Cloudy,0,198.49,Summer,2
20-02-23,K003,North,360,260,177,153.58,113.4,20,Snowy,0,115.27,Summer,1
20-02-23,K004,East,367,267,123,217.82,172.74,20,Snowy,1,177.5,Summer,0
20-02-23,K005,East,353,253,134,112.79,182.82,15,Snowy,1,186.64,Autumn,0
20-02-23,K001,North,371,271,288,320.68,115.85,20,Cloudy,1,114.28,Summer,1
20-02-23,K002,South,290,190,153,202.93,113.56,15,Sunny,1,114.37,Summer,1
20-02-23,K003,South,378,278,199,223.37,142.01,15,Sunny,0,146.56,Autumn,1
20-02-23,K004,East,328,228,123,239.2,138.42,5,Snowy,1,145.96,Winter,1
20-02-23,K005,South,295,195,192,306.61,181.23,5,Snowy,1,179.51,Spring,2
21-02-23,K001,East,279,179,236,446.41,196.55,15,Sunny,0,205.1,Winter,0
21-02-23,K002,West,383,283,263,184.46,120.74,15,Rainy,0,127.3,Autumn,1
21-02-23,K003,South,295,195,204,285.89,143.5,5,Rainy,0,146.37,Summer,1
21-02-23,K004,North,270,170,271,347.47,181.26,15,Sunny,0,180.55,Summer,0
21-02-23,K005,North,367,267,164,156.61,155.99,5,Snowy,0,155.56,Autumn,2
22-02-23,K001,East,295,195,235,294.7,112.81,15,Sunny,1,112.47,Spring,1
22-02-23,K002,East,371,271,123,238.88,141.87,20,Rainy,0,138.06,Winter,1
22-02-23,K003,North,272,172,293,187.01,187.81,20,Sunny,0,191.06,Autumn,0
22-02-23,K004,East,329,229,203,244.44,149.39,15,Cloudy,1,154.21,Spring,0
22-02-23,K005,South,339,239,157,179.79,118.15,5,Sunny,1,115.43,Spring,1
23-02-23,K001,West,300,200,188,234.64,127.67,15,Cloudy,0,130.03,Spring,1
23-02-23,K002,West,390,290,220,198.07,166.76,5,Cloudy,1,165.74,Spring,2
23-02-23,K003,North,300,200,208,267.27,148.5,15,Rainy,1,151.38,Summer,1
23-02-23,K004,North,273,173,245,155.47,117.6,15,Rainy,1,112.74,Summer,1
23-02-23,K005,North,288,188,205,177.08,163.27,15,Cloudy,0,164.74,Winter,0
24-02-23,K001,East,396,296,208,269.54,120.72,15,Snowy,1,129.3,Winter,1
24-02-23,K002,South,356,256,198,184.1,193.65,0,Rainy,0,198.53,Summer,2
24-02-23,K003,South,356,256,141,143.19,176.27,15,Snowy,1,172.26,Autumn,0
24-02-23,K004,East,285,185,152,129.81,142.8,15,Cloudy,1,142.36,Winter,1
24-02-23,K005,North,335,235,165,249.69,194.58,0,Sunny,1,192.8,Spring,2
26-02-23,K001,North,377,277,155,213.33,152.53,15,Snowy,0,154.21,Spring,0
26-02-23,K002,East,301,201,227,163.52,159.84,5,Rainy,0,156.43,Winter,2
26-02-23,K003,North,391,291,182,152.51,175.2,20,Cloudy,1,179.75,Autumn,0
26-02-23,K004,South,300,200,183,163.24,141.2,0,Sunny,0,141.75,Winter,2
26-02-23,K005,North,289,189,153,220.88,148.35,5,Sunny,1,149.07,Autumn,2
27-02-23,K001,North,326,226,265,181.82,134.84,15,Rainy,1,138.22,Autumn,1
27-02-23,K002,West,335,235,177,166.56,118.52,15,Rainy,0,122.49,Spring,1
27-02-23,K003,West,385,285,153,247.23,145.3,20,Sunny,0,142.83,Spring,1
27-02-23,K004,East,378,278,122,248.58,152.03,5,Sunny,1,151.45,Autumn,2
27-02-23,K005,East,374,274,179,208.28,181.94,15,Rainy,0,177.48,Summer,0
28-02-23,K001,South,373,273,203,438.3,189.39,15,Snowy,1,186.89,Summer,0
28-02-23,K002,South,290,190,161,126.4,152.02,15,Cloudy,1,147.43,Spring,1
28-02-23,K003,South,348,248,261,171.73,166.59,15,Snowy,1,167.5,Winter,0
28-02-23,K004,South,294,194,133,191.62,145.0,15,Snowy,1,139.64,Winter,1
28-02-23,K005,East,380,280,177,236.45,135.6,15,Cloudy,1,139.05,Winter,1
01-03-23,K001,North,366,266,213,133.68,115.95,5,Snowy,0,113.91,Winter,1
01-03-23,K002,East,365,265,212,209.98,182.04,5,Rainy,1,178.76,Spring,2
01-03-23,K003,North,301,201,141,156.97,133.36,15,Rainy,1,128.93,Summer,1
01-03-23,K004,North,332,232,228,328.39,186.75,20,Rainy,1,185.88,Summer,0
01-03-23,K005,East,338,238,153,198.03,144.78,15,Snowy,0,143.44,Winter,1
02-03-23,K001,South,342,242,220,205.56,158.52,15,Snowy,1,158.92,Winter,0
02-03-23,K002,North,270,170,227,356.98,117.16,15,Cloudy,1,121.13,Autumn,1
02-03-23,K003,North,375,275,192,220.71,155.63,20,Snowy,0,154.92,Summer,0
02-03-23,K004,West,313,213,216,161.47,135.6,20,Rainy,1,130.61,Spring,1
02-03-23,K005,West,289,189,194,358.37,173.98,20,Rainy,0,176.32,Autumn,0
03-03-23,K001,South,342,242,144,130.54,114.01,0,Snowy,1,112.87,Autumn,1
03-03-23,K002,North,371,271,278,175.67,155.29,0,Cloudy,1,156.32,Spring,2
03-03-23,K003,South,314,214,193,247.84,132.26,20,Cloudy,0,132.71,Spring,1
03-03-23,K004,East,292,192,204,278.38,119.05,5,Cloudy,0,123.51,Autumn,1
03-03-23,K005,South,391,291,145,227.61,149.83,20,Snowy,1,148.9,Spring,0
